system:index,2005-04-15_tcg_stddev,2005-05-15_tcg_stddev,2005-06-15_tcg_stddev,2005-07-15_tcg_stddev,2005-08-15_tcg_stddev,2006-04-15_tcg_stddev,2006-05-15_tcg_stddev,2006-06-15_tcg_stddev,2006-07-15_tcg_stddev,2006-08-15_tcg_stddev,2007-04-15_tcg_stddev,2007-05-15_tcg_stddev,2007-06-15_tcg_stddev,2007-07-15_tcg_stddev,2007-08-15_tcg_stddev,2008-04-15_tcg_stddev,2008-05-15_tcg_stddev,2008-06-15_tcg_stddev,2008-07-15_tcg_stddev,2008-08-15_tcg_stddev,2009-04-15_tcg_stddev,2009-05-15_tcg_stddev,2009-06-15_tcg_stddev,2009-07-15_tcg_stddev,2009-08-15_tcg_stddev,2010-04-15_tcg_stddev,2010-05-15_tcg_stddev,2010-06-15_tcg_stddev,2010-07-15_tcg_stddev,2010-08-15_tcg_stddev,2011-04-15_tcg_stddev,2011-05-15_tcg_stddev,2011-06-15_tcg_stddev,2011-07-15_tcg_stddev,2011-08-15_tcg_stddev,2012-04-15_tcg_stddev,2012-05-15_tcg_stddev,2012-06-15_tcg_stddev,2012-07-15_tcg_stddev,2012-08-15_tcg_stddev,2013-04-15_tcg_stddev,2013-05-15_tcg_stddev,2013-06-15_tcg_stddev,2013-07-15_tcg_stddev,2013-08-15_tcg_stddev,2014-04-15_tcg_stddev,2014-05-15_tcg_stddev,2014-06-15_tcg_stddev,2014-07-15_tcg_stddev,2014-08-15_tcg_stddev,2015-04-15_tcg_stddev,2015-05-15_tcg_stddev,2015-06-15_tcg_stddev,2015-07-15_tcg_stddev,2015-08-15_tcg_stddev,2016-04-15_tcg_stddev,2016-05-15_tcg_stddev,2016-06-15_tcg_stddev,2016-07-15_tcg_stddev,2016-08-15_tcg_stddev,2017-04-15_tcg_stddev,2017-05-15_tcg_stddev,2017-06-15_tcg_stddev,2017-07-15_tcg_stddev,2017-08-15_tcg_stddev,2018-04-15_tcg_stddev,2018-05-15_tcg_stddev,2018-06-15_tcg_stddev,2018-07-15_tcg_stddev,2018-08-15_tcg_stddev,2019-04-15_tcg_stddev,2019-05-15_tcg_stddev,2019-06-15_tcg_stddev,2019-07-15_tcg_stddev,2019-08-15_tcg_stddev,2020-04-15_tcg_stddev,2020-05-15_tcg_stddev,2020-06-15_tcg_stddev,2020-07-15_tcg_stddev,2020-08-15_tcg_stddev,2021-04-15_tcg_stddev,2021-05-15_tcg_stddev,2021-06-15_tcg_stddev,2021-07-15_tcg_stddev,2021-08-15_tcg_stddev,2022-04-15_tcg_stddev,2022-05-15_tcg_stddev,2022-06-15_tcg_stddev,2022-07-15_tcg_stddev,2022-08-15_tcg_stddev,id,.geo
0000000000000000005c,17,0,0,,16,5,0,7,11,0,10,18,8,11,1,30,42,11,0,3,0,23,,0,23,46,10,15,6,6,0,0,0,12,10,0,,0,0,0,0,22,61,,0,0,0,11,1,0,11,0,,0,27,8,24,9,0,18,11,11,0,21,16,3,0,0,,0,0,0,7,3,0,,0,,0,0,,0,0,,0,0,7,0,47,0,93,"{""type"":""Point"",""coordinates"":[-72.33191649894366,42.36224926862231]}"
0000000000000000005d,19,0,0,0,14,6,47,8,44,0,7,0,13,0,16,35,29,24,0,17,0,0,,0,0,19,15,9,0,11,41,,12,9,,0,,2,0,0,10,35,0,,6,0,0,30,2,0,14,0,19,0,,0,30,22,6,11,4,9,0,2,6,8,0,0,,,0,,0,,0,0,0,,0,0,,0,0,,,0,23,0,22,0,94,"{""type"":""Point"",""coordinates"":[-72.32145544787225,42.42225985059957]}"
0000000000000000005e,18,0,0,0,18,7,39,3,63,0,2,2,16,,14,40,42,35,0,14,0,0,,0,0,55,16,7,0,8,34,0,15,12,0,0,,2,0,0,9,29,0,0,8,0,,24,0,0,15,0,14,0,,0,29,20,3,12,3,0,0,1,10,11,0,0,,,0,,0,0,0,,0,,0,0,,0,0,,,0,17,0,68,0,95,"{""type"":""Point"",""coordinates"":[-72.3205324139542,42.42180948139318]}"
0000000000000000005f,10,0,,0,19,0,68,13,18,0,12,29,9,0,37,17,32,0,0,12,0,,,8,0,19,2,8,15,8,27,,18,17,,0,,0,,0,8,46,8,0,0,5,0,52,11,,7,0,0,0,40,0,0,11,4,23,0,25,0,2,16,7,0,0,,,0,0,0,0,0,0,0,,0,0,,0,,,,0,37,0,3,0,96,"{""type"":""Point"",""coordinates"":[-72.33249618208059,42.42211270026481]}"
60,12,0,,0,22,0,82,6,10,0,12,36,13,0,29,17,34,0,0,10,0,2,,61,5,16,8,8,16,10,26,,8,15,19,0,,1,,0,10,57,14,0,0,7,0,12,10,,7,0,0,0,41,0,45,24,7,23,2,28,0,8,0,7,0,0,,,0,0,33,0,0,0,0,,0,0,,0,,,,0,40,0,5,0,97,"{""type"":""Point"",""coordinates"":[-72.33271913713325,42.4215686899363]}"
61,15,0,,0,12,3,43,4,31,0,13,30,4,1,34,32,13,10,0,9,0,0,,37,0,16,5,11,1,0,35,,13,21,17,0,,2,0,0,0,0,2,0,13,2,0,0,0,0,17,,0,0,0,0,46,8,2,9,6,24,0,6,17,7,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,25,0,3,0,98,"{""type"":""Point"",""coordinates"":[-72.33477924181994,42.419950036253894]}"
62,20,0,,0,15,3,47,9,6,0,8,39,13,4,40,19,18,,0,10,0,0,,43,0,14,2,15,12,7,30,,19,13,20,0,,1,0,0,12,41,2,0,10,0,0,0,10,0,0,,0,0,0,0,37,9,1,9,2,27,0,0,20,8,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,21,0,14,0,99,"{""type"":""Point"",""coordinates"":[-72.33538122046217,42.419767213110696]}"
63,13,0,,0,18,5,74,2,0,0,9,25,9,,27,23,25,15,0,8,0,0,,0,0,15,19,68,0,13,19,,14,8,0,0,,0,,0,10,26,0,0,10,10,,27,0,0,9,0,0,0,,0,,10,10,15,1,0,0,2,0,7,0,0,,,0,,19,15,0,0,0,,0,0,,0,0,,0,0,37,0,1,0,100,"{""type"":""Point"",""coordinates"":[-72.32718093362487,42.42217066857851]}"
64,15,0,,0,12,0,72,0,4,0,12,24,8,,26,26,27,13,0,9,0,,,0,0,49,14,59,0,10,24,,18,20,0,0,,0,,0,7,23,6,0,10,6,0,0,11,0,10,0,0,0,,0,,9,8,11,0,13,0,0,0,7,0,0,,,0,,0,0,0,0,0,,0,0,,0,0,,,0,32,0,2,0,101,"{""type"":""Point"",""coordinates"":[-72.32776507586289,42.42172475847316]}"
65,15,0,,0,19,0,61,11,3,0,10,22,9,0,21,27,34,32,0,10,0,23,,0,0,51,13,57,0,8,21,,15,21,20,0,,0,,0,5,33,2,0,0,8,0,1,11,,7,0,0,0,,0,32,11,12,15,1,18,0,0,,7,0,0,,,0,,0,0,0,0,0,,0,0,,0,0,,,0,41,0,2,0,102,"{""type"":""Point"",""coordinates"":[-72.32729241115122,42.42085523376775]}"
