 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  rhizaria  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200701JD","  120.00","   90.00","2007-01-22","2007-01-21","07:38",Day,"  712.07","    0.40"
"200701JD","  100.00","   80.00","2007-01-22","2007-01-26","20:50",Night,"  163.01","    0.07"
"200701JD","   60.00","   80.00","2007-01-22","2007-01-27","21:50",Night,  429.99,"    0.14"
"200701JD","   80.00","   80.00","2007-01-22","2007-01-27","08:07",Day,"    0.00","    0.00"
"200701JD","   90.00","   80.00","2007-01-22","2007-01-27","02:14",Night,"    0.00","    0.00"
"200701JD","   70.00","   80.00","2007-01-22","2007-01-27",15:35,Day,"  111.30","    0.08"
"200701JD","   55.00","   80.00","2007-01-22","2007-01-28","01:54",Night," 1628.30","    0.66"
"200701JD","   51.00","   80.00","2007-01-22","2007-01-28","05:29",Night,  581.83,"    0.17"
"200704JD","  120.00","   90.00","2007-04-04","2007-04-03",23:41,Night,"  185.03","    0.05"
"200704JD","  110.00","   90.00","2007-04-04","2007-04-04","06:06",Day,"  137.90","    0.07"
"200704JD","   90.00","   90.00","2007-04-04","2007-04-04",19:17,Day," 7019.35",    3.52
"200704JD","  100.00","   90.00","2007-04-04","2007-04-04",12:33,Day, 1311.56,"    0.51"
"200704JD","   53.00","   90.00","2007-04-04","2007-04-05",21:12,Night,"    0.00","    0.00"
"200704JD","   80.00","   90.00","2007-04-04","2007-04-05","01:53",Night," 4800.84",    5.37
"200704JD","   70.00","   90.00","2007-04-04","2007-04-05","07:29",Day, 6865.43,    3.69
"200704JD","   60.00","   90.00","2007-04-04","2007-04-05",15:23,Day, 1293.44,"    0.85"
"200704JD","   28.00","   90.00","2007-04-04","2007-04-06",19:24,Night," 1815.01","    0.54"
"200704JD","   45.00","   90.00","2007-04-04","2007-04-06","02:48",Night,  731.69,"    0.24"
"200704JD","   37.00","   90.00","2007-04-04","2007-04-06","07:40",Day," 1662.90","    0.68"
"200704JD","   35.00","   90.00","2007-04-04","2007-04-06",11:54,Day,  943.32,"    0.30"
"200704JD","   30.00","   90.00","2007-04-04","2007-04-06",16:38,Day,  823.17,"    0.37"
"200707NH","  120.00","   90.00","2007-07-06","2007-07-01",19:35,Day,    9.78,"    0.00"
"200707NH","   80.00","   90.00","2007-07-06","2007-07-02",22:49,Night,"  304.11","    0.27"
"200707NH","  110.00","   90.00","2007-07-06","2007-07-02","02:25",Night,"  211.80","    0.25"
"200707NH","   90.00","   90.00","2007-07-06","2007-07-02","16:02",Day,  127.55,"    0.07"
"200707NH","  100.00","   90.00","2007-07-06","2007-07-02","07:53",Day,  865.76,"    0.52"
"200707NH","   70.00","   90.00","2007-07-06","2007-07-03","05:30",Day," 1110.58","    0.40"
"200707NH","   60.00","   90.00","2007-07-06","2007-07-03",12:24,Day,  744.44,"    0.33"
"200707NH","   53.00","   90.00","2007-07-06","2007-07-03","17:50",Day, 2876.98,    3.18
