 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_oithona_like  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200701JD","   28.00","   90.00","2007-01-22","2007-01-18","02:39",Night,15421.97,   16.87
"200701JD","   30.00","   90.00","2007-01-22","2007-01-18","08:05",Day,"19803.93",   25.78
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day,15411.25,"   20.73"
"200701JD","   37.00","   90.00","2007-01-22","2007-01-18",17:12,Day,29216.35,   41.38
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night,18472.31,   21.71
"200701JD","   60.00","   90.00","2007-01-22","2007-01-19","10:54",Day, 5288.82,    7.74
"200701JD","   53.00","   90.00","2007-01-22","2007-01-19","05:09",Night,"15052.55",   22.37
"200701JD","   70.00","   90.00","2007-01-22","2007-01-19","18:05",Day, 4921.37,"    5.20"
"200701JD","  100.00","   90.00","2007-01-22","2007-01-20","17:20",Day," 2092.41","    5.00"
"200701JD","   80.00","   90.00","2007-01-22","2007-01-20","01:17",Night, 5465.88,    7.83
"200701JD","   90.00","   90.00","2007-01-22","2007-01-20","08:11",Day, 4185.71,"   10.84"
"200701JD","  120.00","   90.00","2007-01-22","2007-01-21","07:38",Day," 5140.03",   11.39
"200701JD","  100.00","   80.00","2007-01-22","2007-01-26","20:50",Night,23685.72,"   25.01"
"200701JD","   90.00","   80.00","2007-01-22","2007-01-27","02:14",Night,"30174.23",   29.99
"200701JD","   80.00","   80.00","2007-01-22","2007-01-27","08:07",Day,"20371.21",   24.59
"200701JD","   70.00","   80.00","2007-01-22","2007-01-27",15:35,Day,38137.17,   42.22
"200701JD","   60.00","   80.00","2007-01-22","2007-01-27","21:50",Night,37356.81,   43.42
"200701JD","   51.00","   80.00","2007-01-22","2007-01-28","05:29",Night,31775.83,"   40.42"
"200701JD","   55.00","   80.00","2007-01-22","2007-01-28","01:54",Night,43355.41,"   60.72"
"200704JD","  120.00","   90.00","2007-04-04","2007-04-03",23:41,Night,"10238.43",   19.69
"200704JD","  110.00","   90.00","2007-04-04","2007-04-04","06:06",Day,"33440.01",   42.94
"200704JD","  100.00","   90.00","2007-04-04","2007-04-04",12:33,Day,17343.22,   17.59
