 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  crustacea_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night, 4191.81,    3.84
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,"60958.71",   33.57
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,54189.49,   17.83
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day, 2739.19,    3.69
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"49193.10","   15.10"
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day,"    0.00","    0.00"
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night, 4265.51,    4.82
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day,  258.89,"    0.03"
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night,   47.46,    6.36
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day,   67.69,"    0.54"
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day,"  160.82","    0.57"
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,  179.74,"   10.86"
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day,  136.55,    1.16
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night," 1005.29",    3.84
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,"   80.68","    0.61"
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,   31.66,    7.88
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day,"20054.24",    3.94
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night," 1575.03",    8.42
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night,34156.51,   14.19
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night," 5905.56",    1.24
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night, 5138.41,    8.85
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day,  689.13,"    0.41"
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day,  348.81,    5.52
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day,"  330.66","    0.05"
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day,  226.35,"    4.20"
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night, 1261.11,    4.14
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night,"  100.15","    1.01"
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night,"    0.00","    0.00"
"200701JD","   28.00","   90.00","2007-01-22","2007-01-18","02:39",Night,  138.74,"    0.09"
"200701JD","   30.00","   90.00","2007-01-22","2007-01-18","08:05",Day,   41.88,    8.12
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day,"  720.34","    1.10"
"200701JD","   37.00","   90.00","2007-01-22","2007-01-18",17:12,Day,"  268.40","    0.11"
"200701JD","   53.00","   90.00","2007-01-22","2007-01-19","05:09",Night,  387.32,   11.74
"200701JD","   70.00","   90.00","2007-01-22","2007-01-19","18:05",Day,  295.35,"    0.53"
"200701JD","   60.00","   90.00","2007-01-22","2007-01-19","10:54",Day,"    0.00","    0.00"
"200701JD","   80.00","   90.00","2007-01-22","2007-01-20","01:17",Night,   93.43,"    0.03"
"200701JD","  100.00","   90.00","2007-01-22","2007-01-20","17:20",Day,   51.53,"    0.14"
"200701JD","   90.00","   90.00","2007-01-22","2007-01-20","08:11",Day,   15.29,    7.91
"200701JD","  120.00","   90.00","2007-01-22","2007-01-21","07:38",Day,    9.22,"    0.12"
"200701JD","  100.00","   80.00","2007-01-22","2007-01-26","20:50",Night,   24.43,"    0.00"
"200701JD","   90.00","   80.00","2007-01-22","2007-01-27","02:14",Night,"  141.80","    0.05"
"200701JD","   80.00","   80.00","2007-01-22","2007-01-27","08:07",Day,"   41.04",   94.98
"200701JD","   70.00","   80.00","2007-01-22","2007-01-27",15:35,Day,"  170.61",    8.73
"200701JD","   60.00","   80.00","2007-01-22","2007-01-27","21:50",Night, 1633.95,"    0.69"
"200701JD","   55.00","   80.00","2007-01-22","2007-01-28","01:54",Night,13739.41,    4.91
"200701JD","   51.00","   80.00","2007-01-22","2007-01-28","05:29",Night, 9988.58,    6.44
"200704JD","  120.00","   90.00","2007-04-04","2007-04-03",23:41,Night,"  740.13","    0.55"
"200704JD","  110.00","   90.00","2007-04-04","2007-04-04","06:06",Day,  413.69,"    0.06"
"200704JD","   90.00","   90.00","2007-04-04","2007-04-04",19:17,Day,  676.42,    6.18
"200704JD","  100.00","   90.00","2007-04-04","2007-04-04",12:33,Day," 1020.22","    0.19"
"200704JD","   60.00","   90.00","2007-04-04","2007-04-05",15:23,Day,"    0.00","    0.00"
"200704JD","   70.00","   90.00","2007-04-04","2007-04-05","07:29",Day,  439.84,"    0.02"
"200704JD","   53.00","   90.00","2007-04-04","2007-04-05",21:12,Night, 3951.83,"    0.95"
"200704JD","   80.00","   90.00","2007-04-04","2007-04-05","01:53",Night,14782.33,   24.36
"200704JD","   30.00","   90.00","2007-04-04","2007-04-06",16:38,Day,"    0.00","    0.00"
"200704JD","   45.00","   90.00","2007-04-04","2007-04-06","02:48",Night,  626.85,   28.11
"200704JD","   37.00","   90.00","2007-04-04","2007-04-06","07:40",Day,  132.97,"   10.14"
"200704JD","   35.00","   90.00","2007-04-04","2007-04-06",11:54,Day," 5089.72","    0.96"
"200704JD","   28.00","   90.00","2007-04-04","2007-04-06",19:24,Night, 1121.94,"    0.79"
"200707NH","  120.00","   90.00","2007-07-06","2007-07-01",19:35,Day, 2611.46,"    0.62"
"200707NH","  100.00","   90.00","2007-07-06","2007-07-02","07:53",Day, 2231.91,"    0.65"
"200707NH","   90.00","   90.00","2007-07-06","2007-07-02","16:02",Day,"    0.00","    0.00"
"200707NH","   80.00","   90.00","2007-07-06","2007-07-02",22:49,Night,"   40.01","    0.26"
"200707NH","  110.00","   90.00","2007-07-06","2007-07-02","02:25",Night,"  363.09","    0.48"
"200707NH","   45.00","   90.00","2007-07-06","2007-07-03",23:45,Night,  126.44,"    0.41"
"200707NH","   53.00","   90.00","2007-07-06","2007-07-03","17:50",Day,"   74.40","    0.02"
"200707NH","   60.00","   90.00","2007-07-06","2007-07-03",12:24,Day,"  403.24",    2.39
"200707NH","   70.00","   90.00","2007-07-06","2007-07-03","05:30",Day,   85.43,    1.16
"200707NH","   37.00","   90.00","2007-07-06","2007-07-04","05:34",Day, 8475.66,"    1.06"
"200707NH","   35.00","   90.00","2007-07-06","2007-07-04","08:21",Day, 3182.37,"    5.20"
"200707NH","   28.00","   90.00","2007-07-06","2007-07-04","15:05",Day, 3424.63,    9.18
"200707NH","   30.00","   90.00","2007-07-06","2007-07-04",12:28,Day, 1168.27,    1.49
"200707NH","   55.00","   80.00","2007-07-06","2007-07-10","08:38",Day, 2785.16,"    0.20"
"200707NH","   51.00","   80.00","2007-07-06","2007-07-10","05:47",Day,"30706.64",   49.17
"200707NH","   70.00","   80.00","2007-07-06","2007-07-10","22:06",Night,  126.34,   83.58
"200707NH","   60.00","   80.00","2007-07-06","2007-07-10",14:29,Day," 1846.70",    1.12
"200707NH","  100.00","   80.00","2007-07-06","2007-07-11","18:05",Day,"  234.90",    2.68
"200707NH","   90.00","   80.00","2007-07-06","2007-07-11",11:48,Day,"    0.00","    0.00"
"200707NH","   80.00","   80.00","2007-07-06","2007-07-11","04:58",Day,"  789.02","    0.60"
"200711NH","  110.00","   90.00","2007-11-07","2007-11-06",18:37,Night,  244.59,    4.23
"200711NH","  120.00","   90.00","2007-11-07","2007-11-06","12:01",Day,  214.75,    1.82
"200711NH","   80.00","   90.00","2007-11-07","2007-11-07",15:57,Day,  392.53,    4.22
"200711NH","   70.00","   90.00","2007-11-07","2007-11-07",22:18,Night,  512.38,    1.52
"200711NH","   90.00","   90.00","2007-11-07","2007-11-07","08:00",Day,  334.46,"    0.45"
"200711NH","  100.00","   90.00","2007-11-07","2007-11-07","01:26",Night,   28.22,"    0.29"
"200711NH","   60.00","   90.00","2007-11-07","2007-11-08","05:56",Day,  211.61,    7.32
"200711NH","   53.00","   90.00","2007-11-07","2007-11-08","11:05",Day,"  438.01",    7.57
"200711NH","   45.00","   90.00","2007-11-07","2007-11-08",16:49,Day,"  550.22","    1.20"
"200711NH","   37.00","   90.00","2007-11-07","2007-11-08",22:27,Night,"  808.85","    0.81"
"200711NH","   28.00","   90.00","2007-11-07","2007-11-09","08:54",Day, 8744.75,"    1.08"
"200711NH","   30.00","   90.00","2007-11-07","2007-11-09","06:28",Day,  448.94,    1.76
"200711NH","   35.00","   90.00","2007-11-07","2007-11-09","01:35",Night,"    0.00","    0.00"
"200801JD","  110.00","   90.00","2008-01-17","2008-01-11",11:59,Day,   94.41,    9.95
"200801JD","  120.00","   90.00","2008-01-17","2008-01-11","04:51",Night,"  128.07",    3.75
"200801JD","  100.00","   90.00","2008-01-17","2008-01-11","18:50",Night,"    0.00","    0.00"
"200801JD","   60.00","   90.00","2008-01-17","2008-01-12",23:14,Night,"  405.85","    0.52"
"200801JD","   80.00","   90.00","2008-01-17","2008-01-12","07:36",Day,"  162.00",    8.19
"200801JD","   90.00","   90.00","2008-01-17","2008-01-12","01:42",Night,  343.31,"  101.04"
"200801JD","   53.00","   90.00","2008-01-17","2008-01-13","04:40",Night,"    0.00","    0.00"
"200801JD","   37.00","   90.00","2008-01-17","2008-01-13",16:26,Day,  883.65,    2.57
"200801JD","   35.00","   90.00","2008-01-17","2008-01-13",19:24,Night,   96.78,"    0.01"
"200801JD","   45.00","   90.00","2008-01-17","2008-01-13","10:36",Day,  815.65,"    0.43"
"200801JD","   30.00","   90.00","2008-01-17","2008-01-14","00:24",Night," 1039.05",   26.81
"200801JD","   28.00","   90.00","2008-01-17","2008-01-14","05:00",Night," 7815.07","    0.55"
"200801JD","   51.00","   80.00","2008-01-17","2008-01-19","04:24",Night, 2386.59,    2.46
"200801JD","   60.00","   80.00","2008-01-17","2008-01-19",12:35,Day,  138.51,"    1.10"
"200801JD","   55.00","   80.00","2008-01-17","2008-01-19","07:58",Day,  387.63,"    0.17"
"200801JD","  100.00","   80.00","2008-01-17","2008-01-23",21:51,Night,  596.97,    4.21
"200801JD","   90.00","   80.00","2008-01-17","2008-01-23",15:19,Day,   14.69,"    0.41"
"200801JD","   80.00","   80.00","2008-01-17","2008-01-23","05:54",Night,"    0.00","    0.00"
"200801JD","   70.00","   80.00","2008-01-17","2008-01-23","00:24",Night,   42.23,    4.14
"200804JD","  120.00","   90.00","2008-03-29","2008-03-28",16:58,Day,  335.79,"    0.24"
"200804JD","  110.00","   90.00","2008-03-29","2008-03-29","00:08",Night,  755.97,    3.24
"200804JD","  100.00","   90.00","2008-03-29","2008-03-29","05:52",Day,"    0.00","    0.00"
"200804JD","   80.00","   90.00","2008-03-29","2008-03-29",21:59,Night,  218.58,    8.47
"200804JD","   90.00","   90.00","2008-03-29","2008-03-29",14:47,Day,  232.25,"    0.05"
"200804JD","   70.00","   90.00","2008-03-29","2008-03-30","04:58",Day,"    0.00","    0.00"
"200804JD","   60.00","   90.00","2008-03-29","2008-03-30",12:21,Day,  946.59,    7.61
"200804JD","   45.00","   90.00","2008-03-29","2008-03-31","00:01",Night,"  397.04","    1.01"
"200804JD","   28.00","   90.00","2008-03-29","2008-03-31",17:36,Day,"  920.22","    0.14"
"200804JD","   35.00","   90.00","2008-03-29","2008-03-31","08:20",Day,"    0.00","    0.00"
"200804JD","   30.00","   90.00","2008-03-29","2008-03-31",14:27,Day,"  842.40","    0.62"
"200804JD","   37.00","   90.00","2008-03-29","2008-03-31","05:54",Day,  429.72,"    0.39"
"200808NH","   90.00","   90.00","2008-08-22","2008-08-18",19:53,Night,  323.93,   32.73
"200808NH","  110.00","   90.00","2008-08-22","2008-08-18","06:59",Day,  635.22,"    1.10"
"200808NH","  120.00","   90.00","2008-08-22","2008-08-18","00:06",Night,  347.74,"    1.30"
"200808NH","  100.00","   90.00","2008-08-22","2008-08-18",13:38,Day,"  805.54","    0.54"
"200808NH","   80.00","   90.00","2008-08-22","2008-08-19","02:29",Night, 1376.37,   31.79
"200808NH","   70.00","   90.00","2008-08-22","2008-08-19","08:18",Day,"  374.00",    4.84
"200808NH","   28.00","   90.00","2008-08-22","2008-08-20",12:53,Day,"45307.56",    6.85
"200808NH","   30.00","   90.00","2008-08-22","2008-08-20","17:20",Day, 2593.34,"    0.63"
"200808NH","   35.00","   90.00","2008-08-22","2008-08-20",21:26,Night," 7407.97","   22.01"
"200808NH","   37.00","   90.00","2008-08-22","2008-08-21","00:57",Night, 1283.45,"    0.34"
"200808NH","   70.00","   80.00","2008-08-22","2008-08-27","01:47",Night,  937.66,   16.35
"200808NH","   80.00","   80.00","2008-08-22","2008-08-27","07:18",Day,   32.74,    1.75
"200808NH","   90.00","   80.00","2008-08-22","2008-08-27","15:10",Day, 6927.25,"    5.01"
"200810NH","  120.00","   90.00","2008-10-23","2008-10-17",18:24,Day," 1205.41","   10.05"
"200810NH","   80.00","   90.00","2008-10-23","2008-10-18",21:53,Night,  751.72,   27.43
"200810NH","  100.00","   90.00","2008-10-23","2008-10-18","07:36",Day,  216.41,    2.71
"200810NH","   90.00","   90.00","2008-10-23","2008-10-18","15:08",Day," 1360.33",   12.49
"200810NH","  110.00","   90.00","2008-10-23","2008-10-18","01:05",Night,  255.76,"    0.47"
"200810NH","   70.00","   90.00","2008-10-23","2008-10-19","04:05",Night,  786.22,   23.44
"200810NH","   60.00","   90.00","2008-10-23","2008-10-19","10:21",Day,  367.35,    3.74
"200810NH","   53.00","   90.00","2008-10-23","2008-10-19",15:47,Day, 1138.16,   22.28
"200810NH","   30.00","   90.00","2008-10-23","2008-10-20","07:52",Day,"    0.00","    0.00"
"200810NH","   35.00","   90.00","2008-10-23","2008-10-20","04:21",Night, 1494.91,"   94.60"
"200810NH","   37.00","   90.00","2008-10-23","2008-10-20","01:25",Night," 1072.42",   67.74
"200810NH","   28.00","   90.00","2008-10-23","2008-10-20",11:28,Day,"  505.37",    3.76
"200810NH","   70.00","   80.00","2008-10-23","2008-10-26",15:53,Day,"  653.01","    3.80"
"200810NH","   55.00","   80.00","2008-10-23","2008-10-26","03:40",Night,  371.78,    1.11
"200810NH","   60.00","   80.00","2008-10-23","2008-10-26","07:34",Day," 1500.67","    1.80"
"200810NH","   51.00","   80.00","2008-10-23","2008-10-26","00:03",Night, 4287.95,"    0.76"
"200810NH","   80.00","   80.00","2008-10-23","2008-10-26",22:16,Night,"  604.43",    5.72
"200810NH","  100.00","   80.00","2008-10-23","2008-10-27","10:54",Day,"  198.60","    0.02"
"200810NH","   90.00","   80.00","2008-10-23","2008-10-27","04:21",Night,"  507.60",   88.28
"200810NH","   45.00","   90.00","2008-10-23","2008-10-30","01:12",Night,  682.21,"   18.40"
"200901NH","  110.00","   90.00","2009-01-16","2009-01-11","08:19",Day,"    0.00","    0.00"
"200901NH","  100.00","   90.00","2009-01-16","2009-01-11",15:51,Day,  148.74,"    0.97"
"200901NH","   90.00","   90.00","2009-01-16","2009-01-11","22:05",Night,  193.77,   11.48
"200901NH","  120.00","   90.00","2009-01-16","2009-01-11","02:48",Night,   41.82,"    0.44"
"200901NH","   60.00","   90.00","2009-01-16","2009-01-12",17:21,Day,  699.22,"    0.92"
"200901NH","   70.00","   90.00","2009-01-16","2009-01-12","10:54",Day,   27.74,    2.13
"200901NH","   80.00","   90.00","2009-01-16","2009-01-12","04:27",Night,  449.27,"    1.08"
"200901NH","   53.00","   90.00","2009-01-16","2009-01-12",22:18,Night,"  436.04","    7.07"
"200901NH","   30.00","   90.00","2009-01-16","2009-01-13",18:54,Night,  548.89,    8.65
"200901NH","   37.00","   90.00","2009-01-16","2009-01-13","08:51",Day,"  370.71",   13.72
"200901NH","   45.00","   90.00","2009-01-16","2009-01-13","03:47",Night,   32.22,"    0.02"
"200901NH","   35.00","   90.00","2009-01-16","2009-01-13",23:12,Night,"    0.00","    0.00"
"200901NH","   28.00","   90.00","2009-01-16","2009-01-13",16:18,Day,"    0.00","    0.00"
"200901NH","   51.00","   80.00","2009-01-16","2009-01-19","17:09",Day,"  636.40","    0.26"
"200901NH","   55.00","   80.00","2009-01-16","2009-01-19","20:38",Night,"    0.00","    0.00"
"200901NH","   80.00","   80.00","2009-01-16","2009-01-20",14:59,Day,  225.41,"    0.15"
"200901NH","   90.00","   80.00","2009-01-16","2009-01-20","20:59",Night,  113.58,"   30.29"
"200901NH","   70.00","   80.00","2009-01-16","2009-01-20","07:49",Day,"    0.00","    0.00"
"200901NH","   60.00","   80.00","2009-01-16","2009-01-20","00:59",Night,"    0.00","    0.00"
"200901NH","  100.00","   80.00","2009-01-16","2009-01-21","03:05",Night,"    0.00","    0.00"
"200903JD","  120.00","   90.00","2009-03-16","2009-03-11","05:17",Night," 4015.60",    7.42
