 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_calanoida  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day,"69046.73",  158.78
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night,233363.78, 1688.46
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day,"113930.75","  501.51"
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night,73184.49,  276.52
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day,"78400.10",  157.63
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night,"67491.00","  230.27"
"200701JD","   28.00","   90.00","2007-01-22","2007-01-18","02:39",Night,163181.82,"  409.81"
"200701JD","   30.00","   90.00","2007-01-22","2007-01-18","08:05",Day,"173284.10","  606.76"
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day,133343.94,  558.77
"200701JD","   37.00","   90.00","2007-01-22","2007-01-18",17:12,Day,219654.72,  938.49
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night,142911.31,"  430.22"
"200701JD","   60.00","   90.00","2007-01-22","2007-01-19","10:54",Day,55633.13,"  209.23"
"200701JD","   53.00","   90.00","2007-01-22","2007-01-19","05:09",Night,118677.47,  542.84
"200701JD","   70.00","   90.00","2007-01-22","2007-01-19","18:05",Day,"90741.80",  344.84
"200701JD","  100.00","   90.00","2007-01-22","2007-01-20","17:20",Day,"50551.47",  135.62
"200701JD","   80.00","   90.00","2007-01-22","2007-01-20","01:17",Night,"108065.52","  596.03"
"200701JD","   90.00","   90.00","2007-01-22","2007-01-20","08:11",Day,"31069.11",  111.59
"200701JD","  120.00","   90.00","2007-01-22","2007-01-21","07:38",Day,"44705.88",  136.45
"200701JD","  100.00","   80.00","2007-01-22","2007-01-26","20:50",Night,"146229.80",  518.24
"200701JD","   90.00","   80.00","2007-01-22","2007-01-27","02:14",Night,192529.26,  888.48
"200701JD","   80.00","   80.00","2007-01-22","2007-01-27","08:07",Day,"137601.02","  501.59"
"200701JD","   70.00","   80.00","2007-01-22","2007-01-27",15:35,Day,"107786.04",  313.94
"200701JD","   60.00","   80.00","2007-01-22","2007-01-27","21:50",Night,165386.44,"  802.46"
"200701JD","   51.00","   80.00","2007-01-22","2007-01-28","05:29",Night,"375331.10"," 1530.82"
"200701JD","   55.00","   80.00","2007-01-22","2007-01-28","01:54",Night,"493082.49"," 2634.90"
"200704JD","  120.00","   90.00","2007-04-04","2007-04-03",23:41,Night,93194.43,"  264.09"
"200704JD","  110.00","   90.00","2007-04-04","2007-04-04","06:06",Day,242422.85,"  558.08"
"200704JD","  100.00","   90.00","2007-04-04","2007-04-04",12:33,Day,"436204.74"," 1025.23"
"200704JD","   90.00","   90.00","2007-04-04","2007-04-04",19:17,Day,"465372.01", 2197.33
"200704JD","   80.00","   90.00","2007-04-04","2007-04-05","01:53",Night,795324.75, 2673.98
"200704JD","   60.00","   90.00","2007-04-04","2007-04-05",15:23,Day,486548.89, 2742.57
"200704JD","   53.00","   90.00","2007-04-04","2007-04-05",21:12,Night,"550128.90", 1767.47
"200704JD","   70.00","   90.00","2007-04-04","2007-04-05","07:29",Day,"644720.11", 2449.93
"200704JD","   45.00","   90.00","2007-04-04","2007-04-06","02:48",Night,244618.56," 1862.09"
"200704JD","   37.00","   90.00","2007-04-04","2007-04-06","07:40",Day,"172908.36","  700.79"
"200704JD","   35.00","   90.00","2007-04-04","2007-04-06",11:54,Day,"909116.37", 3615.57
"200704JD","   30.00","   90.00","2007-04-04","2007-04-06",16:38,Day,792536.59, 2555.92
"200704JD","   28.00","   90.00","2007-04-04","2007-04-06",19:24,Night,458818.11, 1611.29
"200707NH","  120.00","   90.00","2007-07-06","2007-07-01",19:35,Day,"49107.83",  196.95
