 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  appendicularia  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day, 6267.22,"   50.79"
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night," 9003.91",   94.31
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night, 1896.27,    9.95
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day, 1771.84,    6.44
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day, 7395.39,   63.15
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night, 2992.52,   17.38
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,"  875.70","    3.06"
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,"12507.16","   52.08"
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night,"10968.83",   96.53
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day," 9298.04","   55.02"
"200610RR","   35.00","   90.00","2006-10-29","2006-10-27","00:35",Night," 3997.00",   11.71
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night," 2939.80",    9.83
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day,14794.71,"   69.02"
"200610RR","   51.00","   80.00","2006-10-29","2006-11-01","22:06",Night," 9700.03",   24.37
"200610RR","   55.00","   80.00","2006-10-29","2006-11-02","01:45",Night,14414.23,   34.87
"200610RR","   70.00","   80.00","2006-10-29","2006-11-02","12:05",Day, 3338.92,   23.15
"200610RR","   60.00","   80.00","2006-10-29","2006-11-02","06:06",Day, 1223.39,    3.63
"200610RR","   80.00","   80.00","2006-10-29","2006-11-02","18:06",Day, 2659.69,   12.89
"200610RR","   90.00","   80.00","2006-10-29","2006-11-03","00:21",Night," 4800.99","   57.07"
"200610RR","  100.00","   80.00","2006-10-29","2006-11-03","08:02",Day, 6192.54,"   60.12"
"200701JD","  110.00","   90.00","2007-01-22","2007-01-16","00:23",Night, 8554.85,  139.51
"200701JD","   30.00","   90.00","2007-01-22","2007-01-18","08:05",Day,"21809.88",  133.84
"200701JD","   45.00","   90.00","2007-01-22","2007-01-18",23:11,Night,19924.84,"  104.07"
"200701JD","   37.00","   90.00","2007-01-22","2007-01-18",17:12,Day,48143.84,"  588.20"
"200701JD","   28.00","   90.00","2007-01-22","2007-01-18","02:39",Night,38496.48,  298.68
"200701JD","   35.00","   90.00","2007-01-22","2007-01-18",13:49,Day,"67295.09",  646.48
"200701JD","   60.00","   90.00","2007-01-22","2007-01-19","10:54",Day, 1919.35,    9.25
"200701JD","   53.00","   90.00","2007-01-22","2007-01-19","05:09",Night, 2922.48,   14.81
"200701JD","   70.00","   90.00","2007-01-22","2007-01-19","18:05",Day,22531.23,  672.18
"200701JD","   80.00","   90.00","2007-01-22","2007-01-20","01:17",Night, 3447.71,   37.73
