"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"36","23",36,245.5,12,211,34.5,0.140529531568228,14.4285714285714,2.3910891089109,1,0
"37","24",37,225,12,223,2,0.00888888888888889,1.35714285714283,1.47368421052634,0,0
"38","25",38,204,12,261,-57,-0.279411764705882,NA,NA,0,0
"39","26",39,254.666666666667,12,255,-0.333333333333343,-0.00130890052356025,NA,NA,0,0
"40","27",40,179,12,249,-70,-0.391061452513966,NA,NA,0,0
"41","28",41,353,12,345,8,0.0226628895184136,5.99999999999995,1.33333333333334,0,0
"42","29",42,314,12,315,-1,-0.00318471337579618,NA,NA,0,0
"43","0000000000000000002a",43,339.333333333333,12,337,2.33333333333331,0.00687622789783884,4.78571428571424,0.487562189054727,0,0
"44","0000000000000000002b",44,315,12,289,26,0.0825396825396825,-10,-2.6,0,0
"45","0000000000000000002c",45,293,12,287,6,0.0204778156996587,2.27192982456139,2.64092664092665,0,0
"46","0000000000000000002d",46,322.333333333333,12,311,11.3333333333333,0.0351602895553257,4.34210526315788,2.61010101010101,0,0
"47","0000000000000000002e",47,322.333333333333,12,311,11.3333333333333,0.0351602895553257,4.34210526315788,2.61010101010101,0,0
"48","0000000000000000002f",48,290.666666666667,12,301,-10.3333333333333,-0.0355504587155963,NA,NA,0,0
"49","30",49,317,12,316,1,0.00315457413249211,4.64285714285712,0.215384615384616,0,0
"50","31",50,315.333333333333,12,314,1.33333333333331,0.0042283298097251,7.0714285714285,0.188552188552188,0,0
"51","32",51,302,12,304,-2,-0.00662251655629139,NA,NA,0,0
"52","33",52,316.666666666667,12,326,-9.33333333333331,-0.0294736842105263,NA,NA,0,0
"53","34",53,293.333333333333,12,304,-10.6666666666667,-0.0363636363636364,NA,NA,0,0
"54","35",54,295.666666666667,12,281,14.6666666666667,0.0496054114994364,11.2142857142857,1.30785562632697,0,0
"55","36",55,307.333333333333,12,288,19.3333333333333,0.0629067245119305,6.35714285714285,3.04119850187266,0,0
"56","37",56,259.333333333333,12,284,-24.6666666666667,-0.0951156812339332,NA,NA,0,0
"57","38",57,204.666666666667,12,265,-60.3333333333333,-0.294788273615635,64,-0.942708333333333,0,0
"58","39",58,239.5,12,160,79.5,0.331941544885177,57,1.39473684210526,1,0
"59","0000000000000000003a",59,214.333333333333,12,137,77.3333333333333,0.360808709175739,42,1.84126984126984,1,0
"60","0000000000000000003b",60,199.5,12,160,39.5,0.197994987468672,18,2.19444444444445,1,0
"61","0000000000000000003c",61,191.333333333333,12,189,2.33333333333334,0.0121951219512196,6.99999999999996,0.333333333333336,1,0
"62","0000000000000000003d",62,201.5,12,201,0.5,0.00248138957816377,10.2857142857143,0.0486111111111111,1,0
"63","0000000000000000003e",63,211,12,259,-48,-0.227488151658768,NA,NA,0,0
"64","0000000000000000003f",64,219,12,267,-48,-0.219178082191781,12,-4,0,0
"65","40",65,211.5,12,262,-50.5,-0.238770685579196,10.0000000000001,-5.04999999999996,0,0
"66","41",66,240.333333333333,12,291,-50.6666666666667,-0.210818307905687,NA,NA,0,0
"67","42",67,250.666666666667,12,274,-23.3333333333333,-0.0930851063829788,NA,NA,0,0
"68","43",68,212.333333333333,12,258,-45.6666666666667,-0.215070643642072,NA,NA,0,0
"69","44",69,252,12,289,-37,-0.146825396825397,NA,NA,0,0
"70","45",70,264,12,301,-37,-0.140151515151515,NA,NA,0,0
"71","46",71,230,12,303,-73,-0.317391304347826,NA,NA,0,0
"72","47",72,250.333333333333,12,281,-30.6666666666667,-0.122503328894807,NA,NA,0,0
"73","48",73,206.5,12,247,-40.5,-0.196125907990315,15,-2.69999999999999,0,0
"74","49",74,234.666666666667,12,296,-61.3333333333333,-0.261363636363636,NA,NA,0,0
"75","0000000000000000004a",75,225.5,12,292,-66.5,-0.29490022172949,NA,NA,0,0
"76","0000000000000000004b",76,271.5,12,287,-15.5,-0.0570902394106814,NA,NA,0,0
"77","0000000000000000004c",77,256,12,291,-35,-0.13671875,NA,NA,0,0
"78","0000000000000000004d",78,236,12,247,-11,-0.0466101694915254,20,-0.549999999999999,0,0
"79","0000000000000000004e",79,208.5,12,302,-93.5,-0.448441247002398,NA,NA,0,0
"80","0000000000000000004f",80,181.666666666667,12,260,-78.3333333333333,-0.431192660550459,NA,NA,0,0
"81","50",81,282,12,302,-20,-0.0709219858156028,NA,NA,0,0
"82","51",82,275,12,296,-21,-0.0763636363636364,NA,NA,0,0
"83","52",83,276.333333333333,13,248,28.3333333333333,0.102533172496984,16.9999999999999,1.66666666666667,0,1
"84","53",84,274.666666666667,13,248,26.6666666666667,0.0970873786407768,10.8255813953488,2.46330110991765,0,0
"85","54",85,284.333333333333,13,274,10.3333333333333,0.0363423212192262,11.4999999999999,0.898550724637683,0,0
"86","55",86,262.333333333333,13,250,12.3333333333333,0.0470139771283354,21.9999999999999,0.560606060606062,0,0
"87","56",87,313.333333333333,13,226,87.3333333333333,0.278723404255319,20.5,4.26016260162602,0,1
"88","57",88,260,12,201,59,0.226923076923077,27.2,2.16911764705882,1,0
"89","58",89,252,12,208,44,0.174603174603175,22.2857142857143,1.97435897435898,1,0
"90","59",90,288.333333333333,12,205,83.3333333333333,0.289017341040462,28.2,2.95508274231678,1,0
"91","0000000000000000005a",91,215,12,256,-41,-0.190697674418605,NA,NA,0,0
"92","0000000000000000005b",92,239.5,12,257,-17.5,-0.0730688935281837,20.0000000000001,-0.874999999999997,0,0
"93","0000000000000000005c",93,267,12,235,32,0.119850187265918,16.1,1.98757763975155,0,0
"94","0000000000000000005d",94,312,13,81,231,0.740384615384615,40.5813953488372,5.69226361031519,0,1
"95","0000000000000000005e",95,301.666666666667,13,76,225.666666666667,0.748066298342541,37.5348837209302,6.01218504750103,0,1
"96","0000000000000000005f",96,313.666666666667,12,324,-10.3333333333333,-0.0329436769394261,6.00000000000005,-1.72222222222221,0,0
"97","60",97,354.333333333333,13,183,171.333333333333,0.483537158984008,105,1.63174603174603,0,1
"98","61",98,303,13,102,201,0.663366336633663,104.5,1.92344497607656,0,1
"99","62",99,303.333333333333,13,107,196.333333333333,0.647252747252747,33.0714285714286,5.93664506839453,0,1
"100","63",100,312.333333333333,13,220,92.3333333333333,0.295624332977588,41,2.2520325203252,0,1
"101","64",101,301.333333333333,13,197,104.333333333333,0.346238938053097,57,1.83040935672515,0,1
"102","65",102,320.666666666667,13,123,197.666666666667,0.616424116424116,106.5,1.85602503912363,0,1
"103","66",103,288.666666666667,13,180,108.666666666667,0.376443418013857,23.0232558139535,4.71986531986532,0,1
"104","67",104,292,13,213,79,0.270547945205479,19.0930232558139,4.13763702801462,0,1
"105","68",105,259,12,212,47,0.181467181467181,9.26708074534161,5.07171581769437,1,0
"106","69",106,266.333333333333,13,256,10.3333333333333,0.0387984981226532,20.5,0.504065040650406,0,0
"107","0000000000000000006a",107,294,12,320,-26,-0.0884353741496599,NA,NA,0,0
"108","0000000000000000006b",108,306,13,243,63,0.205882352941176,13.3604651162791,4.71540469973891,0,1
