plot,loc,size,RO,BO,WO,CO
1 31,E10,1,0,0,0,0
1 31,E10,2,0,0,0,0
1 31,E10,3,0,0,0,0
1 31,S5,1,1,0,0,0
1 31,S5,2,0,0,1,0
1 31,S5,3,0,0,0,0
1 31,S10,1,0,0,0,0
1 31,S10,2,0,0,0,0
1 31,S10,3,0,0,0,0
1 31,W5,1,0,0,0,0
1 31,W5,2,1,0,0,0
1 31,W5,3,0,0,0,0
1 31,W10,1,1,0,0,0
1 31,W10,2,1,0,0,0
1 31,W10,3,0,0,0,0
1 32,N5,1,1,0,0,0
1 32,N5,2,1,0,0,0
1 32,N5,3,0,0,0,0
1 32,N10,1,0,0,0,0
1 32,N10,2,1,1,1,0
1 32,N10,3,0,0,0,0
1 32,E5,1,1,0,1,0
1 32,E5,2,0,0,0,0
1 32,E5,3,0,0,0,0
1 32,E10,1,1,0,1,0
1 32,E10,2,1,0,1,0
1 32,E10,3,0,0,0,0
1 32,S5,1,0,0,1,0
1 32,S5,2,0,0,1,0
1 32,S5,3,0,0,0,0
1 32,S10,1,0,0,0,0
1 32,S10,2,0,0,1,0
1 32,S10,3,0,0,1,0
1 32,W5,1,0,0,0,0
1 32,W5,2,0,0,1,0
1 32,W5,3,0,0,0,0
1 32,W10,1,0,0,0,0
1 32,W10,2,0,0,0,0
1 32,W10,3,0,0,0,0
1 33,N5,1,0,0,0,0
1 33,N5,2,0,0,0,0
1 33,N5,3,0,0,0,0
1 33,N10,1,0,0,0,0
1 33,N10,2,0,0,0,0
1 33,N10,3,0,0,0,0
1 33,E5,1,1,0,0,0
1 33,E5,2,0,0,0,0
1 33,E5,3,0,0,0,0
1 33,E10,1,0,0,0,0
1 33,E10,2,0,0,0,0
1 33,E10,3,0,0,0,0
1 33,S5,1,0,0,0,0
1 33,S5,2,0,0,0,0
1 33,S5,3,0,0,0,0
1 33,S10,1,1,0,0,0
1 33,S10,2,0,1,0,0
1 33,S10,3,0,0,0,0
1 33,W5,1,1,0,0,0
1 33,W5,2,0,0,0,0
1 33,W5,3,0,0,0,0
1 33,W10,1,1,0,1,0
1 33,W10,2,0,0,1,0
1 33,W10,3,0,0,0,0
1 34,N5,1,0,0,0,0
1 34,N5,2,0,0,0,0
1 34,N5,3,0,0,0,0
1 34,N10,1,0,0,0,0
1 34,N10,2,0,0,0,0
1 34,N10,3,0,0,0,0
1 34,E5,1,0,0,0,0
1 34,E5,2,0,0,0,0
1 34,E5,3,0,0,0,0
1 34,E10,1,0,0,0,0
1 34,E10,2,0,0,0,0
1 34,E10,3,0,0,0,0
1 34,S5,1,0,0,0,0
1 34,S5,2,0,0,0,0
1 34,S5,3,0,0,0,0
1 34,S10,1,0,0,0,0
