Year,Temp (C),Temp Anomaly (C),Salinity (PSU),Salinity Anomaly (PSU),Density (kg/m²),Density Anomaly (kg/m²),Chl (µg/l),Chl Anomaly (µg/l),Integrated Chl (mg/m²),Integrated Chl Anomaly (mg/m²),Int. C14 (mg/m²/0.5day),Int. C14 Anomaly (mg/m²/0.5day),P04 (µmol/L),PO4 Anomaly (µmol/L),SIO3 (µmol/L),SIO3 Anomaly (µmol/L),NO2 (µmol/L),NO2 Anomaly (µmol/L),NO3 (µmol/L),NO3 Anomaly (µmol/L),MLD (m),MLD Anomaly (m),NCDepth (m),NCDepth Anomaly (m)
1986.416667,14.17057,-0.62553,33.45462,0.03572,24.945304,0.160976,3.013287,0.936292,113.44163,48.10311,488.0528,-40.8483,0.452982,0.018191,3.052317,-0.504451,0.045073,-0.006183,1.56496,-0.164473,23.48156,3.20741,36.43462,0.74425
1986.760802,17.03144,-0.43692,33.40161,-0.00608,24.270941,0.09815,0.992098,0.487456,44.43921,-16.24034,349.6,-17.8377,0.363883,0.046186,2.960266,0.674662,0.017913,0.004327,0.438015,0.223509,18.75908,1.11364,41.05787,-1.55383
1986.916667,16.70603,0.2167,33.3152,-0.04609,24.286364,-0.079026,0.504563,-0.542246,36.51913,-24.25461,219.8028,-67.9993,0.379836,0.020387,1.792118,-0.661346,0.012795,-0.009114,0.181583,-0.475761,24.49716,1.38937,46.65488,4.01366
1987.25,14.26659,0.5794,33.30483,-0.05265,24.818997,-0.163827,0.783502,-0.888843,63.69681,-0.95775,343.4133,-37.9008,0.372625,-0.083993,2.067228,-1.689829,0.014693,-0.042655,0.695879,-1.005561,23.46308,-3.72994,46.33102,9.09027
1987.415385,15.33919,0.71072,33.38985,-0.01109,24.650739,-0.155906,0.802397,-1.252303,44.63166,-20.8037,428.5,-88.238,0.401025,-0.045325,3.998956,0.249519,0.043367,-0.006125,0.872625,-0.978409,19.13363,-1.97463,40.20617,4.60197
1987.75,17.98487,0.30674,33.40171,-0.00616,24.044554,-0.071593,0.64718,0.123391,40.22963,-20.76124,229.2667,-169.863,0.356083,0.047758,2.668715,0.321514,0.012447,-0.004411,0.239523,0.079403,18.24827,1.51191,47.27162,5.1772
1987.916667,16.59344,0.29091,33.29875,-0.06731,24.295723,-0.113683,0.65934,-0.457731,39.50155,-21.31183,413.0433,125.6789,0.360146,-0.019425,2.293618,-0.386892,0.024095,-0.004835,0.267227,-0.66184,31.24208,7.9466,47.68372,5.09889
1988.09127,13.48115,-0.64723,33.36313,0.02268,25.025126,0.165437,1.475817,0.433473,70.93871,8.00436,458.4222,156.8095,0.486655,0.060313,4.46716,0.919426,0.095157,0.03825,1.854565,0.588942,34.79286,5.09306,27.69903,-12.26414
1988.400327,13.66988,-0.59539,33.5255,0.07769,25.103227,0.184387,2.666498,0.242561,99.80823,34.36952,1602.5444,1086.4351,0.668811,0.147155,7.09538,2.844228,0.124242,0.059022,4.928398,2.439004,19.82482,-1.32322,23.41097,-12.19108
1988.666667,17.14812,-0.49644,33.45638,0.03936,24.282289,0.154725,1.573957,0.896168,71.97541,10.10925,415.4639,-46.2834,0.349817,0.035236,3.358733,0.845698,0.018673,0.00081,0.473911,0.174512,15.24565,-0.42512,34.86382,-5.83436
1988.833333,17.20983,-0.14528,33.43926,0.06431,24.259511,0.087286,1.004771,0.385478,48.93232,-11.49903,459.1286,141.7039,0.327204,0.006662,2.97552,0.717883,0.014203,0.000618,0.288164,0.064659,18.79117,-1.09945,39.38111,-3.69453
1989.099462,12.71136,-1.45478,33.39825,0.05882,25.206242,0.356036,2.398511,1.368834,116.66871,53.68878,599.8417,297.0254,0.500495,0.088222,4.50082,1.100703,0.076285,0.023979,2.2134,1.143784,25.24169,-4.42778,15.6715,-24.22346
1989.333333,14.59153,0.38385,33.4702,0.06969,24.868401,-0.031117,0.764228,-1.335799,45.44094,-20.0462,407.4267,-83.5464,0.648783,0.176014,6.429977,2.396223,0.080617,0.025237,3.686884,1.539717,15.82607,-6.7495,29.60472,-6.03048
1989.592593,16.85487,-0.21415,33.48104,0.05146,24.367258,0.099669,1.088601,0.062789,55.0688,-7.77979,557.9389,47.6454,0.349794,0.006038,3.069813,0.21936,0.029095,0.002421,0.879087,0.171182,22.23655,6.65597,38.74045,-0.44419
1989.916667,16.72403,0.03134,33.47078,0.10957,24.399482,0.081136,0.635589,-0.313618,46.50601,-14.15519,281.1444,-8.9917,0.363534,0.013642,2.28942,-0.116668,0.012451,-0.006277,0.185808,-0.366832,25.02524,2.51591,44.38027,1.58107
1990.25,13.00733,-0.54444,33.49765,0.13023,25.221937,0.20259,1.589861,-0.185702,79.28584,14.52815,231.375,-157.7223,0.638098,0.161335,6.886317,2.882108,0.090795,0.026905,3.828118,1.830234,28.92207,2.00874,32.08212,-4.98295
1990.333333,14.55055,0.3005,33.53479,0.08897,24.930582,0.000412,1.354593,-0.835588,57.17873,-8.30768,353.405,-136.646,0.487358,0.028701,5.018587,1.132994,0.047673,-0.008925,1.862019,-0.125073,22.40308,-0.22026,34.06396,-1.57597
1990.630769,18.09632,0.75316,33.4976,0.06949,24.090979,-0.112921,1.117652,0.191045,56.71413,-5.8333,973.7774,476.4691,0.302066,-0.027825,3.153035,0.438493,0.003776,-0.021187,0.075914,-0.458073,14.96754,-0.5501,43.824,4.18053
1990.916667,17.31042,0.60724,33.48758,0.12617,24.27439,-0.040604,0.377202,-0.544952,39.47517,-21.16893,239.2556,-51.4209,0.301269,-0.051823,2.300481,-0.147784,0.004328,-0.016209,0.15034,-0.444097,24.68548,2.27826,54.68133,11.85853
1991.083333,14.09572,-0.30266,33.44808,0.10391,24.962464,0.165057,0.944139,0.099188,60.50811,-1.95403,282.3528,-9.4395,0.403146,-0.006178,3.127593,-0.276268,0.04279,-0.012563,0.380081,-0.670968,34.53564,4.61953,41.42858,0.77087
1991.233333,14.65653,0.67919,33.47401,0.08539,24.865853,-0.079039,0.702021,-0.878558,45.21897,-19.27162,260.7167,-109.2402,0.37612,-0.056268,2.871804,-0.624321,0.026034,-0.025505,0.335743,-1.069967,30.74949,3.15832,46.94819,9.43226
1991.624359,16.26678,-1.08086,33.37787,-0.04519,24.433414,0.234726,0.70783,-0.19457,38.29918,-24.28397,374.7292,-124.2034,0.401674,0.071381,4.337356,1.62208,0.029717,0.007359,0.704587,0.17464,14.01699,-1.50417,34.6379,-4.95091
1991.817204,17.67215,-0.02119,33.28424,-0.09435,24.03233,-0.062012,0.408366,-0.073564,31.91999,-28.59737,151.43,-192.8531,0.368014,0.059699,3.064758,0.838055,0.006863,-0.005209,0.108967,0.004715,15.24835,-3.27028,41.53322,-1.36191
1992.147849,14.4436,0.37875,33.2219,-0.10833,24.71864,-0.151959,0.427472,-0.647796,32.2026,-31.1591,219.4417,-95.1997,0.447002,0.028788,2.451295,-0.925501,0.024719,-0.02539,0.275384,-0.874181,30.78452,1.43492,53.38405,14.06823
1992.333333,15.35117,1.11457,33.24162,-0.14753,24.530126,-0.356519,1.380131,-0.675687,66.79759,1.31299,491.4792,3.185,0.515801,0.054561,4.193092,0.331424,0.031337,-0.022258,1.755243,-0.213265,18.56824,-4.14543,42.86579,7.2163
1992.583333,17.8702,1.0687,33.23627,-0.19212,23.942066,-0.385169,0.388426,-0.888703,44.38982,-19.15737,331.1389,-203.0369,0.380774,0.022505,2.198639,-0.818586,0.006167,-0.022772,0.22111,-0.678592,11.91526,-4.09978,48.53871,10.39985
1992.805556,18.52725,0.84294,33.29554,-0.09075,23.822775,-0.278524,0.495056,-0.000062,38.01301,-22.52047,336.669,-10.4198,0.369097,0.062047,2.353338,0.108028,0.010866,-0.001687,0.182106,0.074904,16.85604,-1.54485,52.10644,9.24054
1993.083333,14.82007,0.46129,33.12177,-0.21448,24.56116,-0.243593,0.517641,-0.398012,30.32032,-32.30341,203.9194,-90.6813,0.404974,-0.00219,3.411257,0.061383,0.04682,-0.005598,0.447349,-0.573717,33.44611,3.58374,50.35232,9.92973
1993.324495,14.25529,0.34986,33.25924,-0.12158,24.775397,-0.178697,3.438133,1.466997,130.66661,65.31332,507.6222,54.8057,0.559841,0.090793,4.856057,0.947557,0.046762,-0.010433,2.580922,0.565341,29.58623,5.20229,46.11186,10.13649
1993.666667,17.61886,0.00968,33.30245,-0.11539,24.053378,-0.082443,0.619482,-0.117539,54.23594,-7.58207,226.2278,-232.6482,0.317929,0.001717,2.968593,0.441725,0.011946,-0.009522,0.205438,-0.105955,20.15347,4.45427,51.39297,10.61931
1993.833333,18.01052,0.62038,33.27267,-0.10466,23.944611,-0.220996,0.423817,-0.186189,35.23221,-25.20122,291.6858,-28.9819,0.307425,-0.012859,2.505397,0.241862,0.00336,-0.011039,0.098022,-0.13042,18.27601,-1.41843,52.11841,9.05253
1994.112374,15.0172,0.91186,33.27768,-0.06377,24.636396,-0.232419,0.552844,-0.427118,38.68149,-24.36931,175.4345,-129.3411,0.336522,-0.101073,3.071312,-0.581756,0.009402,-0.048862,0.167918,-1.267838,40.55456,10.93555,63.41917,23.63065
1994.285897,14.23475,0.43178,33.29512,-0.08258,24.811957,-0.162954,1.252025,-0.673666,59.10819,-6.11423,279.5472,-154.4729,0.465888,-0.004098,3.793324,-0.140167,0.040689,-0.017482,2.02801,0.011801,32.50066,7.32026,50.81155,14.57759
1994.666667,17.58712,0.03727,33.35031,-0.06969,24.09833,-0.051902,0.680271,-0.05317,49.02624,-13.04418,401.4143,-71.9539,0.374314,0.055276,3.940077,1.376615,0.00771,-0.011852,0.33142,-0.040937,17.19199,1.61391,45.31482,4.93536
1994.830808,18.22991,0.64277,33.35398,-0.03146,23.945611,-0.178467,0.774692,0.254241,47.43948,-13.05642,375.5694,35.3671,0.315385,0.00316,3.368825,1.113313,0.016858,0.002923,0.390549,0.236199,18.15288,-0.54397,52.42489,9.49017
1995.083333,14.51803,0.00903,33.19294,-0.14384,24.679916,-0.088905,0.798804,-0.023824,37.03307,-25.31493,172.0667,-118.1019,0.380946,-0.023528,4.713531,1.368199,0.079771,0.02593,0.519138,-0.491206,34.13326,4.19231,51.64331,10.82122
1995.333333,13.8455,0.03888,33.30289,-0.11296,24.890832,-0.107663,4.741709,2.607812,161.30102,95.87241,548.3681,80.6377,0.490718,-0.02189,5.371561,0.900649,0.037441,-0.032586,2.31417,-0.377311,34.65915,10.94623,46.41327,10.60307
1995.583333,16.66566,-0.26785,33.38596,-0.04182,24.342694,0.045862,1.277648,0.08365,59.41944,-3.94485,565.7333,36.9415,0.380327,0.028912,3.464289,0.517877,0.035302,0.008022,0.894478,0.084779,12.7812,-3.08026,48.1679,9.75794
1995.833333,17.72804,0.36101,33.42624,0.05003,24.12399,-0.046246,0.541878,-0.083871,41.00072,-19.4306,390.0778,72.789,0.274306,-0.046121,2.145594,-0.115162,0.010334,-0.003547,0.21579,-0.013972,19.15758,-0.74151,50.56698,7.49103
1996.155303,15.18317,1.16652,33.36817,0.0295,24.669731,-0.218408,0.580331,-0.586407,39.3644,-24.08427,315.7778,-1.9978,0.340459,-0.077477,2.761676,-0.649122,0.017941,-0.032224,0.497914,-0.65884,22.00931,-7.25057,46.26221,7.08025
1996.337179,14.74523,0.46222,33.4707,0.07708,24.83017,-0.048251,4.373795,2.317502,150.36782,84.87972,340.2139,-152.4386,0.426343,-0.033772,4.08881,0.22828,0.046906,-0.006502,2.035978,0.062659,22.89517,0.40728,45.82696,10.19984
1996.666667,17.43848,-0.16183,33.47378,0.05425,24.22303,0.084756,1.063861,0.362098,59.07036,-2.86843,587.8389,121.8583,0.309087,-0.00727,2.021804,-0.521837,0.030588,0.011595,0.67074,0.332713,17.6743,2.04152,41.18649,0.60189
1996.839646,16.61472,-0.63032,33.40942,0.03597,24.370318,0.173659,2.140606,1.454275,78.26352,17.82874,245.3264,-66.9273,0.321306,-0.005659,2.01554,-0.286498,0.020603,0.005648,0.402323,0.100965,20.74314,0.5141,40.37015,-2.71123
1997.151515,14.51182,0.49011,33.26555,-0.07478,24.734536,-0.152959,1.169825,0.025142,59.17022,-4.24312,310.3319,-6.1504,0.373036,-0.047471,2.891302,-0.539976,0.036577,-0.015425,0.822568,-0.370964,25.89429,-3.40282,38.08318,-1.15325
1997.333333,14.31699,0.31952,33.41568,0.03414,24.88802,-0.046526,2.331733,0.326906,92.59551,27.19494,525.8694,64.3339,0.42368,-0.03813,3.960616,0.140217,0.04799,-0.00735,1.522263,-0.39933,25.84056,1.8442,37.11763,1.24338
1997.583333,17.37917,0.65464,33.48955,0.06074,24.255241,-0.090245,0.689131,-0.585562,58.93927,-4.65597,483.4042,-52.0781,0.315393,-0.047151,2.146828,-0.905615,0.017264,-0.012916,0.395108,-0.553932,17.50046,1.44011,42.58179,4.51382
1997.770833,20.392,2.48778,33.49735,0.1315,23.510804,-0.522782,0.272525,-0.104711,36.74813,-23.8869,284.3944,-77.492,0.246739,-0.054781,1.288865,-0.903902,0.000571,-0.007224,0.137433,0.08658,19.76207,1.92605,67.61219,24.92437
1998.121212,16.02414,2.09248,33.52282,0.17389,24.604244,-0.305004,0.44369,-0.48961,36.82086,-26.35858,179.1278,-129.4783,0.370944,-0.11469,2.588416,-1.602628,0.115502,0.049371,0.427541,-1.661209,51.24575,21.72864,62.30867,22.71462
1998.333333,14.60869,0.70007,33.405,0.02002,24.819593,-0.136606,2.96848,0.959656,105.38221,39.9844,383.4139,-77.5627,0.344016,-0.130726,2.533476,-1.435238,0.025163,-0.033413,0.847809,-1.253378,37.02834,13.00675,60.94308,25.06272
1998.583333,17.67035,0.70579,33.32994,-0.09797,24.067013,-0.223526,0.358986,-0.787185,44.31749,-18.92988,373.9667,-151.0522,0.257925,-0.089687,2.248671,-0.659832,0.003801,-0.022794,0.07521,-0.689489,17.41994,1.64152,62.26321,23.67889
1998.75,18.48797,0.72406,33.35526,-0.04243,23.886301,-0.202641,0.512469,0.044522,41.68859,-19.07565,388.625,11.5581,0.238756,-0.064696,1.842733,-0.423132,0.001964,-0.011558,0.081226,-0.01212,18.71555,1.37678,59.31226,16.84341
1999.083333,13.99886,-0.44128,33.41138,0.08009,24.957517,0.173711,0.626145,-0.225751,37.19544,-25.3324,231.7472,-61.1159,0.389365,-0.014887,3.86887,0.535829,0.065262,0.015818,1.44611,0.479346,25.21375,-4.6831,30.80491,-9.75753
1999.333333,12.59845,-1.31042,33.49346,0.11322,25.298999,0.345623,4.944955,2.949104,188.07786,122.70253,777.7333,321.0546,0.501379,0.034592,4.575624,0.702847,0.105053,0.048474,2.93899,0.975432,31.22429,7.01048,25.81389,-10.11515
1999.666667,16.17929,-1.42993,33.55866,0.13945,24.576301,0.441122,1.653903,0.958018,78.53296,16.57427,604.3655,137.2449,0.482083,0.16217,4.880473,2.29826,0.082767,0.062562,2.717587,2.337364,15.21498,-0.40838,30.86413,-9.68941
1999.833333,16.82758,-0.71312,33.55167,0.17014,24.429322,0.296281,1.420741,0.869307,57.08536,-3.37673,323.9583,-8.4209,0.356046,0.042943,3.360593,1.119684,0.045631,0.032754,0.926504,0.7699,16.03555,-3.02889,35.02737,-7.97264
2000.083333,13.99817,-0.50007,33.50231,0.16863,25.026174,0.256433,1.187742,0.343377,50.53986,-11.91599,190.9847,-100.7102,0.444003,0.054027,4.795031,1.598,0.076059,0.030392,2.072996,1.276056,23.9143,-6.00346,30.39511,-10.2717
2000.333333,14.17863,0.0546,33.48418,0.09883,24.970076,0.060374,2.20732,0.173883,90.58125,25.12901,548.0056,73.9345,0.464526,0.006144,4.520905,0.710766,0.065351,0.012296,2.444065,0.545054,16.6359,-6.77916,32.65055,-3.10118
2000.573232,16.91904,0.21434,33.53195,0.10375,24.398794,0.049524,0.942437,-0.375122,44.03798,-19.62465,509.9194,-27.3163,0.34103,-0.022452,3.496571,0.426239,0.027115,-0.002902,0.914638,-0.045631,14.04935,-2.07812,34.61063,-3.35819
2000.833333,17.14593,-0.11763,33.52441,0.15063,24.339744,0.146867,0.64309,-0.020094,45.43922,-14.99388,386.7375,73.2281,0.281079,-0.043686,2.418344,0.131329,0.008173,-0.006567,0.243366,-0.031891,21.68196,1.53834,42.49168,-0.58953
2001.083333,14.12453,-0.31811,33.45062,0.11425,24.957472,0.172814,1.244259,0.359793,57.17372,-5.2828,229.55,-62.1552,0.392011,-0.009502,4.301097,0.982363,0.05281,0.001108,1.139118,0.178834,36.56941,6.65182,34.46398,-6.20187
2001.333333,13.15747,-0.88962,33.51188,0.12622,25.199226,0.27243,4.548401,2.516678,145.23905,79.79824,502.1028,31.2775,0.467974,0.003938,4.836761,0.974527,0.057038,0.001716,2.480367,0.502149,27.23193,3.66337,33.41191,-2.36882
2001.583333,16.66881,-0.30321,33.55711,0.12894,24.473182,0.185186,1.77161,0.639251,118.00501,54.82582,369.7417,-152.9615,0.283408,-0.064693,2.216279,-0.687628,0.009281,-0.017932,0.24723,-0.523487,19.44323,3.70791,41.39703,2.71068
2001.878788,17.01518,-0.03992,33.51365,0.14534,24.364563,0.126694,0.460478,-0.310899,43.60583,-16.88475,284.9208,-15.247,0.317076,-0.018495,2.057426,-0.276856,0.010083,-0.006701,0.190437,-0.199377,19.17652,-2.02834,41.49923,-1.52628
2002.126263,13.34787,-0.72891,33.44972,0.10956,25.11683,0.242989,1.264003,0.191609,78.13139,14.92966,471.093,161.7871,0.473108,0.048533,3.927798,0.436903,0.07905,0.023897,2.174495,0.94251,33.89268,4.39459,28.23589,-11.3243
2002.314103,13.42497,-0.4599,33.43181,0.05662,25.08749,0.13434,1.979002,0.117123,91.58662,26.26995,332.7208,-114.2414,0.469524,-0.014319,3.517874,-0.552772,0.071805,0.014448,2.096452,-0.082131,19.35878,-5.27861,24.77164,-11.27846
2002.583333,15.98393,-0.76718,33.43954,0.01118,24.543293,0.204273,0.823842,-0.455143,50.97617,-12.58421,392.3458,-142.1931,0.410526,0.052302,3.308082,0.296137,0.040289,0.011206,0.974088,0.076437,16.70882,0.68155,28.21356,-9.90582
2002.916667,16.26618,-0.30797,33.28042,-0.07928,24.360132,0.016149,0.542242,-0.454085,40.30132,-20.44937,216.15,-71.9865,0.380232,0.021792,1.894881,-0.578797,0.010121,-0.010376,0.37677,-0.271755,22.39564,-0.59823,37.00763,-5.66623
2003.157828,15.09353,1.08917,33.18184,-0.15848,24.548908,-0.343147,0.403074,-0.751614,35.59361,-27.86371,217.3222,-100.7743,0.402016,-0.022258,1.701356,-1.781149,0.012747,-0.040319,0.194013,-1.04812,27.06564,-2.18496,44.09469,4.92608
2003.333333,13.94214,-0.11883,33.21435,-0.16821,24.811816,-0.109637,3.961272,1.954988,154.81805,89.38576,773.2653,304.634,0.463383,0.00289,2.07659,-1.759731,0.051452,-0.002121,1.482253,-0.436658,18.60078,-5.07031,32.65845,-3.14299
2003.583333,17.61893,0.49221,33.22495,-0.2068,23.992594,-0.262632,1.155694,0.079356,51.97131,-10.98009,743.0048,228.6445,0.317452,-0.023419,1.589703,-1.251081,0.046509,0.021215,0.463336,-0.223703,13.36082,-2.25831,31.31187,-7.71719
2003.85,17.46644,0.26152,33.13044,-0.24005,23.959993,-0.244529,1.034108,0.33383,39.9214,-20.53179,360.9847,54.9984,0.351393,0.022916,1.762851,-0.535556,0.014567,-0.000544,0.307589,-0.01054,17.59172,-3.10228,40.45577,-2.61188
2004.083333,14.45164,-0.0975,33.04816,-0.28753,24.579401,-0.179749,1.173624,0.363172,53.91966,-8.4257,304.4528,14.318,0.38208,-0.010926,1.682456,-1.53531,0.045878,-0.002748,0.541636,-0.320083,29.30397,-0.63742,38.34148,-2.48437
2004.285354,14.14839,0.31293,33.15539,-0.2191,24.72365,-0.241638,2.434575,0.507984,94.9186,29.66419,534.5431,96.3989,0.442674,-0.02077,3.411508,-0.418593,0.06634,0.009821,2.053779,0.149313,27.42301,2.4132,36.19311,0.02046
2004.583333,17.0472,-0.06519,33.28025,-0.1471,24.168123,-0.087053,2.067944,0.992261,95.7964,32.73636,389.69,-128.7644,0.317884,-0.024631,1.655714,-1.199517,0.054515,0.02928,1.196678,0.499806,13.3522,-2.31702,28.63645,-10.22882
2004.916667,16.83921,0.08884,33.17435,-0.18633,24.145983,-0.157827,0.549212,-0.374043,33.97645,-26.6545,154.6542,-136.4818,0.285589,-0.065817,1.066881,-1.36917,0.014614,-0.004207,0.280343,-0.282409,20.3784,-1.94755,38.77193,-4.06897
2005.083333,14.66905,0.07283,33.00156,-0.33401,24.500743,-0.247589,0.930776,0.143064,42.73476,-19.55287,273.6875,-15.7467,0.304575,-0.084408,2.79659,-0.39274,0.042009,-0.005418,0.49591,-0.301035,28.34352,-1.60605,38.78085,-2.12758
2005.333333,14.30752,0.04658,33.23016,-0.16073,24.749273,-0.133995,3.027686,0.93034,138.34852,72.86283,388.25,-101.04,0.354253,-0.10595,1.596199,-2.25923,0.022977,-0.030877,0.751318,-1.221314,20.83717,-1.8254,39.33813,3.69416
2005.583333,16.10082,-0.56613,33.40568,-0.02267,24.472722,0.118918,2.051901,0.76089,98.02876,34.42302,473.05,-62.7115,0.384073,0.019695,2.660371,-0.408341,0.058884,0.027883,1.888595,0.913566,16.76701,0.69648,35.13451,-2.91799
2005.916667,16.19064,-0.46923,33.29177,-0.07724,24.383144,0.052881,2.121843,1.134632,69.02922,8.38796,351.0861,60.3137,0.289717,-0.063478,2.584415,0.134417,0.029611,0.009352,0.328052,-0.273861,22.7265,0.33665,35.27558,-7.55115
2006.166667,14.22335,0.29138,33.28674,-0.05301,24.811116,-0.097886,1.340561,0.121764,62.24558,-1.40841,302.5278,-23.3185,0.40922,-0.016847,3.601511,0.125799,0.052587,0.000679,1.536306,0.263521,27.09973,-1.92209,32.02885,-6.83414
2006.333333,14.24398,0.29497,33.22652,-0.15555,24.758766,-0.183358,1.497291,-0.418426,69.03889,3.65393,360.1821,-98.2871,0.351972,-0.13046,3.146288,-0.906552,0.043167,-0.013565,1.042191,-1.143857,18.23555,-5.89857,36.91804,1.00964
2006.583333,17.52485,0.60831,33.38991,-0.03739,24.126667,-0.165453,1.572876,0.412619,67.67679,4.39643,508.0845,-18.0248,0.276398,-0.073101,3.260334,0.339603,0.02555,-0.001346,0.690376,-0.092327,15.7541,-0.04658,36.79406,-1.74097
2006.857323,17.5523,0.4086,33.37366,0.0037,24.13114,-0.087694,0.535924,-0.181023,37.59515,-22.86562,230.6014,-73.8513,0.276851,-0.051352,1.892527,-0.387306,0.007643,-0.007773,0.101361,-0.206563,18.74621,-2.07349,46.54483,3.48499
2007.083333,13.83648,-0.44783,33.47333,0.13792,25.037533,0.216466,1.401242,0.466395,71.14384,8.40685,209.7639,-87.1513,0.402326,-0.011692,2.232729,-1.183378,0.070606,0.016599,0.923622,-0.16942,37.41261,7.60057,34.27293,-5.98325
2007.321038,13.64193,-0.40235,33.50697,0.1449,25.097395,0.186941,1.209757,-0.589787,55.14353,-10.23313,434.2667,-22.6546,0.53229,0.098692,6.123932,2.324385,0.135489,0.093206,4.277523,2.426202,25.26542,1.06238,32.69693,-3.22929
2007.569444,16.37395,-0.25305,33.51153,0.08323,24.501121,0.133153,0.780649,-0.556825,64.79543,1.07112,548.5028,9.7441,0.381072,0.01614,2.644666,-0.428909,0.054763,0.024102,1.582583,0.602263,16.08857,-0.10408,29.29033,-8.58801
2007.916667,15.76166,-0.98602,33.40219,0.03463,24.562126,0.253149,0.926414,0.018376,38.67985,-21.93002,262.8042,-29.1574,0.38017,0.033622,2.669542,0.30432,0.091211,0.072448,1.581352,1.069892,18.92211,-3.26818,24.44304,-18.42667
2008.083333,13.39849,-1.08143,33.33353,0.00258,25.019274,0.246797,1.003705,0.223875,47.01704,-15.48255,269.3944,-22.9963,0.514334,0.116929,4.396734,1.148897,0.080934,0.03366,2.845009,1.965597,26.71985,-3.18572,21.62819,-18.97527
2008.298177,12.67464,-1.16625,33.46068,0.07373,25.254515,0.282088,2.155152,0.137279,86.34599,21.03328,334.7312,-111.6314,0.730191,0.254005,7.500017,3.507866,0.1007,0.041626,6.363523,4.266503,24.97405,0.311,17.39382,-18.66424
2008.666667,17.70972,-0.00254,33.38521,-0.03006,24.094288,-0.012331,0.744929,0.132533,44.9429,-16.70378,446.6167,-1.6038,0.310691,-0.000077,2.654778,0.182009,0.010888,-0.006329,0.205631,-0.045498,14.02177,-1.80093,30.26902,-10.77422
2008.833333,16.69741,-0.59276,33.3872,0.01336,24.341464,0.155034,0.562093,-0.087509,41.51507,-18.91971,463.8069,151.553,0.325727,0.001003,1.679796,-0.6022,0.012253,-0.002512,0.216656,-0.057931,17.17237,-3.05666,34.11831,-8.96306
