plot,plot_2,loc,size,RO,BO,WO,CO
1 33,1_33,S5,2,0,0,0,0
1 33,1_33,S5,3,0,0,0,0
1 33,1_33,S10,1,1,0,0,0
1 33,1_33,S10,2,0,1,0,0
1 33,1_33,S10,3,0,0,0,0
1 33,1_33,W5,1,1,0,0,0
1 33,1_33,W5,2,0,0,0,0
1 33,1_33,W5,3,0,0,0,0
1 33,1_33,W10,1,1,0,1,0
1 33,1_33,W10,2,0,0,1,0
1 33,1_33,W10,3,0,0,0,0
1 34,1_34,N5,1,0,0,0,0
1 34,1_34,N5,2,0,0,0,0
1 34,1_34,N5,3,0,0,0,0
1 34,1_34,N10,1,0,0,0,0
1 34,1_34,N10,2,0,0,0,0
1 34,1_34,N10,3,0,0,0,0
1 34,1_34,E5,1,0,0,0,0
1 34,1_34,E5,2,0,0,0,0
1 34,1_34,E5,3,0,0,0,0
1 34,1_34,E10,1,0,0,0,0
1 34,1_34,E10,2,0,0,0,0
1 34,1_34,E10,3,0,0,0,0
1 34,1_34,S5,1,0,0,0,0
1 34,1_34,S5,2,0,0,0,0
1 34,1_34,S5,3,0,0,0,0
1 34,1_34,S10,1,0,0,0,0
1 34,1_34,S10,2,0,0,0,0
1 34,1_34,S10,3,0,0,0,0
1 34,1_34,W5,1,0,0,0,0
1 34,1_34,W5,2,0,0,0,0
1 34,1_34,W5,3,0,0,0,0
1 34,1_34,W10,1,0,0,0,0
1 34,1_34,W10,2,0,0,0,0
1 34,1_34,W10,3,0,0,0,0
1 40,1_40,N5,1,1,0,0,0
1 40,1_40,N5,2,0,0,0,0
1 40,1_40,N5,3,0,0,0,0
1 40,1_40,N10,1,1,0,0,0
1 40,1_40,N10,2,0,0,0,0
1 40,1_40,N10,3,0,0,0,0
1 40,1_40,E5,1,1,0,0,0
1 40,1_40,E5,2,0,0,0,0
1 40,1_40,E5,3,0,0,0,0
1 40,1_40,E10,1,0,0,0,0
1 40,1_40,E10,2,1,0,0,0
1 40,1_40,E10,3,0,0,0,0
1 40,1_40,S5,1,1,0,0,0
1 40,1_40,S5,2,0,0,0,0
1 40,1_40,S5,3,0,0,0,0
1 40,1_40,S10,1,1,0,1,0
1 40,1_40,S10,2,0,0,0,0
1 40,1_40,S10,3,0,0,0,0
1 40,1_40,W5,1,1,0,0,0
1 40,1_40,W5,2,1,0,0,0
1 40,1_40,W5,3,0,0,0,0
1 40,1_40,W10,1,1,1,0,0
1 40,1_40,W10,2,0,0,0,0
1 40,1_40,W10,3,0,0,0,0
1 38,1_38,N5,1,1,1,0,0
1 38,1_38,N5,2,0,0,0,0
1 38,1_38,N5,3,0,0,0,0
1 38,1_38,N10,1,1,0,0,0
1 38,1_38,N10,2,0,0,0,0
1 38,1_38,N10,3,0,0,0,0
1 38,1_38,E5,1,1,0,0,0
1 38,1_38,E5,2,0,0,0,0
1 38,1_38,E5,3,0,0,0,0
1 38,1_38,E10,1,1,0,0,0
1 38,1_38,E10,2,0,0,0,0
1 38,1_38,E10,3,0,0,0,0
1 38,1_38,S5,1,1,0,0,0
1 38,1_38,S5,2,0,0,0,0
1 38,1_38,S5,3,0,0,0,0
1 38,1_38,S10,1,0,0,0,0
1 38,1_38,S10,2,0,0,0,0
1 38,1_38,S10,3,0,0,0,0
1 38,1_38,W5,1,1,0,0,0
1 38,1_38,W5,2,1,1,0,0
1 38,1_38,W5,3,0,0,0,0
1 38,1_38,W10,1,0,0,0,0
1 38,1_38,W10,2,0,0,0,0
1 38,1_38,W10,3,0,0,0,0
1 41,1_41,N5,1,1,0,0,0
1 41,1_41,N5,2,1,0,0,0
1 41,1_41,N5,3,0,0,0,0
1 41,1_41,N10,1,1,0,0,0
1 41,1_41,N10,2,0,0,0,0
1 41,1_41,N10,3,0,0,0,0
1 41,1_41,E5,1,1,0,0,0
1 41,1_41,E5,2,0,1,0,0
1 41,1_41,E5,3,0,0,0,0
1 41,1_41,E10,1,1,0,0,0
1 41,1_41,E10,2,0,0,0,0
1 41,1_41,E10,3,0,0,0,0
1 41,1_41,S5,1,1,0,0,0
1 41,1_41,S5,2,1,0,0,0
1 41,1_41,S5,3,1,0,0,0
1 41,1_41,S10,1,1,0,0,0
1 41,1_41,S10,2,0,0,0,0
1 41,1_41,S10,3,0,0,0,0
1 41,1_41,W5,1,1,0,0,0
1 41,1_41,W5,2,1,0,0,0
1 41,1_41,W5,3,0,0,0,0
1 41,1_41,W10,1,1,0,0,0
1 41,1_41,W10,2,1,0,0,0
1 41,1_41,W10,3,0,0,0,0
1 45,1_45,N5,1,1,0,0,0
1 45,1_45,N5,2,1,0,0,0
1 45,1_45,N5,3,0,0,0,0
1 45,1_45,N10,1,0,0,0,0
1 45,1_45,N10,2,0,0,0,0
1 45,1_45,N10,3,0,0,0,0
1 45,1_45,E5,1,1,0,0,0
1 45,1_45,E5,2,1,0,0,0
1 45,1_45,E5,3,0,0,0,0
1 45,1_45,E10,1,1,0,0,0
1 45,1_45,E10,2,1,0,0,0
1 45,1_45,E10,3,0,0,0,0
1 45,1_45,S5,1,1,0,0,0
1 45,1_45,S5,2,0,0,0,0
1 45,1_45,S5,3,0,0,0,0
1 45,1_45,S10,1,0,0,0,0
1 45,1_45,S10,2,0,0,0,0
1 45,1_45,S10,3,0,0,0,0
1 45,1_45,W5,1,0,0,1,0
1 45,1_45,W5,2,0,0,1,0
1 45,1_45,W5,3,0,0,0,0
1 45,1_45,W10,1,1,0,0,0
1 45,1_45,W10,2,0,0,0,0
1 45,1_45,W10,3,0,0,0,0
1 46,1_46,N5,1,1,0,0,0
1 46,1_46,N5,2,1,0,0,0
1 46,1_46,N5,3,0,0,0,0
1 46,1_46,N10,1,0,0,0,0
1 46,1_46,N10,2,0,0,0,0
1 46,1_46,N10,3,0,0,0,0
1 46,1_46,E5,1,1,0,0,0
1 46,1_46,E5,2,0,0,0,0
1 46,1_46,E5,3,0,0,0,0
1 46,1_46,E10,1,0,0,0,0
1 46,1_46,E10,2,0,0,0,0
1 46,1_46,E10,3,0,0,0,0
1 46,1_46,S5,1,0,0,0,0
1 46,1_46,S5,2,0,0,0,0
