plot,plot_2,SPP,DBH,CnpExp,DieB,Cond,Epi.S,Notes
3 28,3_28,BO,48.4,1,4,D,NA,
3 35,3_35,BO,69.9,1,4,D,NA,
3 35,3_35,BO,57.1,1,4,D,NA,
3 39,3_39,WP,54.6,2,4,D,NA,
3 39,3_39,BB,40.7,2,4,D,NA,
3 39,3_39,RO,81,1,4,D,NA,
3 4,3_4,BB,41.9,1,4,D,NA,
3 4,3_4,WO,51,1,4,D,No,
3 54,3_54,WO,29.6,1,4,D,NA,
3 55,3_55,RO,46.5,1,4,D,NA,
3 55,3_55,RM,16.5,3,4,D,NA,
3 55,3_55,RO,45.8,1,4,D,NA,
3 55,3_55,RO,71.5,1,4,D,NA,
3 62,3_62,WP,15.3,3,4,D,NA,top broken off
3 62,3_62,WP,12.8,3,4,D,NA,
3 71,3_71,WA,42.1,3,4,D,NA,leaning
3 71,3_71,HL,57.5,3,4,D,NA,
3 73,3_73,WA,23.2,3,4,D,NA,
3 74,3_74,RO,20.7,3,4,D,No,top snapped off
3 75,3_75,RM,44.5,2,4,D,NA,
3 75,3_75,RM,27.7,3,4,D,NA,
3 77,3_77,RM,49.2,1,4,D,NA,"no bark, snag very dead"
3 78,3_78,BB,14.1,3,4,D,NA,Snag
3 78,3_78,RM,54.7,1,4,D,NA,
3 78,3_78,HdWd,40.3,3,4,D,NA,"snag, very decayed "
3 80,3_80,RM,16.6,3,4,D,NA,Leaning
3 80,3_80,WO,26.7,1,4,D,NA,
3 83,3_83,WA,16.5,3,4,D,NA,
3 85,3_85,RM,13.7,2,4,D,NA,
3 85,3_85,RM,26.2,3,4,D,NA,
3 85,3_85,WO,31.8,1,4,D,NA,
3 88,3_88,RO,48,1,4,D,NA,
3 88,3_88,RO,45.7,1,4,D,NA,
3 88,3_88,RO,77.7,1,4,D,NA,
3 88,3_88,RO,47,1,4,D,NA,
3 96,3_96,WP,34.1,3,4,D,NA,
3 97,3_97,HdWd,82.1,1,4,D,NA,"tall snag, no bark"
3 99,3_99,PB,53,2,4,D,NA,
3 99,3_99,RO,63.1,1,4,D,NA,
4 12,4_12,RO,87.7,1,4,D,No,
4 12,4_12,RO,89.7,1,4,D,No,
4 12,4_12,RO,82.3,1,4,D,No,
4 12,4_12,RO,28,1,4,D,No,
4 13,4_13,RO,69.6,1,4,D,NA,
4 13,4_13,RO,74.3,1,4,D,NA,
4 13,4_13,RO,63.9,1,4,D,NA,
4 13,4_13,RO,43.1,1,4,D,NA,
4 13,4_13,RO,77.8,1,4,D,NA,
4 16,4_16,WO,49.3,1,4,D,NA,Still partially attached; split broken large snag; fell recently
4 25,4_25,RO,77.5,1,4,D,NA,
4 26,4_26,RO,84.6,1,4,D,NA,
4 26,4_26,RO,83.1,1,4,D,NA,
4 27,4_27,RO,16.6,3,4,D,NA,
4 27,4_27,RO,21.8,3,4,D,NA,
4 33,4_33,RO,23.4,2,4,D,NA,
4 35,4_35,Unknown,21.7,1,4,D,NA,
4 37,4_37,RO,41.1,1,4,D,NA,
4 37,4_37,RO,37.2,1,4,D,NA,
4 37,4_37,RO,33.4,2,4,D,NA,
4 39,4_39,RO,45.3,1,4,D,NA,
4 39,4_39,RO,59.5,1,4,D,NA,
4 39,4_39,RO,36,1,4,D,NA,
4 56,4_56,RO,88.9,1,4,D,NA,
4 56,4_56,WO,59.1,1,4,D,NA,
4 56,4_56,RO,36.5,1,4,D,NA,
4 56,4_56,RO,65.1,1,4,D,NA,
4 56,4_56,RO,66.6,1,4,D,NA,
4 56,4_56,RO,56.7,1,4,D,NA,
4 56,4_56,RO,64.8,1,4,D,NA,
4 56,4_56,RO,59.5,1,4,D,NA,
4 56,4_56,RO,71.3,1,4,D,NA,
4 57,4_57,RO,60,1,4,D,NA,
4 57,4_57,RO,43.9,1,4,D,NA,
4 62,4_62,WA,26.3,1,4,D,NA,
4 64,4_64,RO,55.7,1,4,D,NA,
4 64,4_64,RO,50.3,1,4,D,NA,
4 64,4_64,RO,44,1,4,D,NA,
4 72,4_72,WO,76,1,4,D,NA,
4 72,4_72,RO,64.2,1,1,D,NA,
4 72,4_72,RO,56.1,1,4,D,NA,
4 72,4_72,RO,54.6,1,4,D,NA,
4 72,4_72,RO,72.9,1,4,D,NA,
4 77,4_77,RO,95.7,1,4,D,NA,growing on side of road and barbed wire 
4 77,4_77,RO,59.8,1,4,D,NA,
4 85,4_85,BB,16.9,3,4,D,NA,
4 85,4_85,BB,30.1,2,1,D,NA,
4 87,4_87,WP,39.6,1,4,D,NA,Missing bark
5 00,5_00,WA,26.9,3,4,D,NA,
5 00,5_00,Unknown,24.2,3,1,D,NA,
5 07,5_07,WO,73,1,4,D,NA,
5 12,5_12,WP,78,1,4,D,NA,Top off
5 15,5_15,RO,54.1,3,4,D,NA,
5 15,5_15,WA,33.2,1,4,D,NA,
5 24,5_24,WA,35.8,1,4,D,NA,
5 24,5_24,BO,52.8,1,4,D,NA,
5 24,5_24,BO,52,1,4,D,NA,
5 27,5_27,WA,29.6,1,4,D,NA,
5 27,5_27,RM,24.7,3,4,D,NA,
5 27,5_27,RO,44.3,1,4,D,NA,
5 38,5_38,RO,40.1,1,4,D,NA,
5 54,5_54,PB,29.7,3,4,D,NA,
5 55,5_55,BO,18.9,3,4,D,NA,
5 56,5_56,PB,29.8,3,1,D,NA,
5 56,5_56,BO,57.5,1,4,D,NA,
5 58,5_58,RM,41.5,1,1,D,NA,
5 75,5_75,SM,49.8,2,4,D,NA,
5 77,5_77,WA,31.2,2,4,D,NA,
5 86,5_86,RM,30.3,2,4,D,NA,
5 87,5_87,PB,22,3,4,D,NA,
5 87,5_87,WO,63.1,1,4,D,NA,
5 88,5_88,WP,19.1,2,4,D,NA,bark missing
5 88,5_88,BB,31,1,4,D,NA,missing some bark
5 90,5_90,RO,29.4,3,4,D,NA,
6 03,6_03,RO,79.1,1,4,D,NA,
6 03,6_03,BO,47.3,1,4,D,NA,
6 03,6_03,BO,53.5,1,4,D,NA,
6 03,6_03,RO,55.9,1,4,D,NA,Same tree
6 03,6_03,RO,102.9,1,4,D,NA,Same tree
6 04,6_04,RO,69.9,1,4,D,NA,
6 04,6_04,RO,83.6,1,4,D,NA,
6 04,6_04,BC,24.6,3,4,D,NA,"snag, black cherry"
6 05,6_05,RO,43.4,1,4,D,NA,double
6 05,6_05,RO,70.7,1,4,D,NA,double
6 05,6_05,RO,66.7,1,4,D,NA,double
6 05,6_05,RO,50.2,1,4,D,NA,
6 05,6_05,RO,84,1,4,D,NA,double
6 05,6_05,RO,59.9,1,4,D,NA,
6 05,6_05,RO,56.5,1,4,D,NA,
6 05,6_05,RO,58.1,1,4,D,NA,
6 05,6_05,RO,65.3,1,4,D,NA,
6 08,6_08,RO,30.4,1,4,D,NA,
6 08,6_08,RO,50.7,1,4,D,NA,
6 11,6_11,RO,76.8,1,4,D,NA,
6 11,6_11,RO,35.5,1,4,D,NA,
6 13,6_13,YB,34.2,1,4,D,NA,
6 13,6_13,RO,39.9,1,4,D,NA,
6 23,6_23,WO,44.9,1,4,D,NA,
6 23,6_23,WO,44.3,1,4,D,NA,
6 23,6_23,RO,42.2,1,4,D,NA,
6 23,6_23,WO,33.3,1,4,D,NA,
6 24,6_24,RO,41.8,1,4,D,NA,
6 28,6_28,WP,29.9,3,4,D,NA,Most indicators of species vague
6 28,6_28,RO,23.5,3,4,D,NA,
6 29,6_29,RO,40.5,1,4,D,NA,
6 33,6_33,RO,46.4,1,4,D,NA,
6 33,6_33,WO,31.4,1,4,D,NA,
6 35,6_35,RO,45,1,4,D,NA,
6 35,6_35,WO,54.2,1,4,D,NA,
6 37,6_37,HL,60.2,1,4,D,NA,
6 42,6_42,BO,58.4,1,4,D,NA,Many mushrooms
6 42,6_42,WP,68.8,1,4,D,NA,hollow
6 46,6_46,HL,20.1,2,4,D,NA,"no needles, many broken branches"
6 56,6_56,RO,53.8,1,4,D,NA,
6 56,6_56,RO,45.9,1,4,D,NA,
6 56,6_56,WP,24.8,3,4,D,NA,
6 56,6_56,WP,20.7,3,4,D,NA,
6 65,6_65,WO,52.1,2,4,D,NA,
6 65,6_65,RM,15.2,3,4,D,NA,
6 65,6_65,RO,55.4,1,4,D,NA,
6 65,6_65,RO,53.8,1,4,D,NA,
6 65,6_65,WA,63.7,1,4,D,NA,
6 65,6_65,RO,65.9,1,4,D,NA,
6 65,6_65,RO,59.6,1,4,D,NA,
6 66,6_66,WA,63.5,3,4,D,NA,Snag
6 66,6_66,RO,57.7,1,4,D,NA,
6 66,6_66,RO,54.2,1,4,D,NA,
6 67,6_67,WP,17.3,3,4,D,NA,
6 68,6_68,RO,64.3,1,4,D,NA,Multistem
6 68,6_68,RO,63,1,4,D,NA,Multistem
6 68,6_68,RO,86,1,4,D,NA,Multistem
6 68,6_68,RO,57.5,1,4,D,NA,
6 68,6_68,RO,39.5,1,4,D,NA,
6 68,6_68,WP,23.1,2,4,D,NA,
6 69,6_69,WP,32.4,3,4,D,NA,
6 69,6_69,RO,34.6,1,4,D,NA,
6 70,6_70,PB,35,3,4,D,NA,double stem
6 70,6_70,PB,28.8,2,4,D,NA,double stem
6 70,6_70,RO,57.9,1,4,D,NA,
6 72,6_72,RO,70.6,1,4,D,NA,
6 72,6_72,RO,53.6,1,4,D,NA,Double stem
6 72,6_72,RO,54.5,1,4,D,NA,Double stem
6 77,6_77,WP,44.4,1,4,D,NA,
6 77,6_77,WP,72.9,1,1,D,NA,
6 77,6_77,WP,19.8,3,4,D,NA,
6 77,6_77,WP,33.4,3,4,D,NA,
6 78,6_78,RO,51.6,1,4,D,NA,
6 78,6_78,RO,59.7,1,4,D,NA,
6 78,6_78,RO,58.5,1,4,D,NA,
6 82,6_82,RO,64.2,1,4,D,NA,Mushrooms
6 82,6_82,RO,68.3,1,4,D,NA,
6 82,6_82,RO,47,1,4,D,NA,
6 82,6_82,RO,60,1,4,D,NA,
6 82,6_82,WO,39.4,1,4,D,NA,
6 84,6_84,BO,38.6,1,4,D,NA,
6 84,6_84,BB,14.1,3,4,D,NA,
6 85,6_85,RO,72.3,1,4,D,NA,
6 85,6_85,BO,33.4,3,4,D,NA,snag
6 85,6_85,RO,64.7,1,4,D,NA,
6 89,6_89,RM,24.5,3,4,D,NA,Snag
6 89,6_89,RM,37.3,2,4,D,NA,Snag
6 90,6_90,WP,38.8,2,4,D,NA,
6 91,6_91,RO,67.7,1,4,D,NA,
6 93,6_93,RO,66.5,1,4,D,NA,
6 93,6_93,RM,19.1,2,4,D,NA,Snag
6 93,6_93,RO,64.4,1,4,D,NA,
6 93,6_93,WO,42.4,1,4,D,NA,
6 93,6_93,RO,46.7,1,4,D,NA,
1 00,1_00,RO,41.5,1,1,L,Yes,
1 00,1_00,RO,32.1,1,1,L,Yes,
1 00,1_00,WP,29.3,1,2,L,NA,
1 00,1_00,RO,37.8,1,2,L,Yes,
1 00,1_00,WP,25.3,2,1,L,NA,
1 00,1_00,WP,32.8,2,1,L,NA,
1 00,1_00,RO,46.2,1,1,L,Yes,
1 00,1_00,RO,54.4,1,2,L,Yes,
1 00,1_00,RO,22.5,2,1,L,Yes,
1 01,1_01,HL,74.8,1,4,L,NA,"Some needles mostlye gone, dying, fungi"
1 01,1_01,RO,38.5,2,2,L,Yes,
1 01,1_01,WP,59.1,1,1,L,NA,
1 01,1_01,WP,69,1,1,L,NA,
1 01,1_01,RO,49.9,1,1,L,Yes,
1 01,1_01,WP,55.5,1,1,L,NA,
1 01,1_01,WP,47.7,1,1,L,NA,
1 03,1_03,BB,32.9,1,1,L,NA,
1 03,1_03,WP,42.4,1,1,L,NA,
1 03,1_03,RM,15.4,2,1,L,NA,
1 03,1_03,WP,56.9,1,1,L,NA,
1 03,1_03,RO,46.7,1,1,L,No,
1 03,1_03,RM,11.5,3,2,L,NA,
1 07,1_07,RO,39.8,1,2,L,Yes,
1 07,1_07,WP,46,1,1,L,NA,
1 07,1_07,RO,36.8,2,1,L,Yes,
1 07,1_07,RO,40.8,1,1,L,No,
1 07,1_07,RO,43.7,1,1,L,Yes,
1 09,1_09,RO,35,1,3,L,Yes,
1 09,1_09,RO,24.2,2,2,L,Yes,
1 13,1_13,RO,67,1,1,L,No,
1 13,1_13,WP,67.2,1,1,L,NA,
1 13,1_13,WP,66.3,1,1,L,NA,"Multistems, more than 3"
1 13,1_13,WP,67.9,1,1,L,NA,Double stem
1 13,1_13,WP,63.5,1,1,L,NA,double stem
1 13,1_13,WP,52.7,1,1,L,NA,
1 13,1_13,WP,36.6,2,1,L,NA,
1 13,1_13,WP,48.2,1,1,L,NA,
1 13,1_13,WP,61.3,1,1,L,NA,double stem
1 13,1_13,WP,36.5,1,1,L,NA,double stem
1 13,1_13,WP,59,1,1,L,NA,double stem
1 13,1_13,WP,36.9,1,1,L,NA,
1 19,1_19,RO,24.7,2,1,L,Yes,
1 19,1_19,RO,31.8,2,2,L,Yes,
1 19,1_19,RO,44.3,1,1,L,No,"Some dieback, not enough"
1 19,1_19,RO,50.6,1,1,L,Yes,"Some dieback, not enough"
1 19,1_19,WO,27.6,2,1,L,Yes,"Some dieback, not enough"
1 19,1_19,WP,27.7,1,1,L,NA,
1 19,1_19,WP,19.9,3,2,L,NA,
1 19,1_19,WO,41,1,1,L,Yes,
1 19,1_19,WO,49.7,1,1,L,Yes,
1 19,1_19,RM,19.9,3,1,L,NA,
1 19,1_19,RO,36.8,1,1,L,Yes,
1 23,1_23,WP,56.1,1,1,L,NA,
1 23,1_23,BO,67.9,1,1,L,No,
1 23,1_23,WP,46,1,1,L,NA,
1 23,1_23,RM,31,1,1,L,NA,
1 23,1_23,WP,52.8,1,1,L,NA,
1 23,1_23,WP,45.2,1,1,L,NA,
1 23,1_23,WP,56.7,1,1,L,NA,
1 23,1_23,RO,49.7,1,2,L,Yes,
1 23,1_23,WP,42.6,1,1,L,NA,
1 23,1_23,WP,57.1,1,1,L,NA,
1 23,1_23,WP,63.5,1,1,L,NA,
1 23,1_23,WO,35.6,2,1,L,Yes,
1 23,1_23,WP,45.3,1,1,L,NA,
1 23,1_23,WP,43.7,1,1,L,NA,
1 23,1_23,RO,55.8,1,2,L,Yes,
1 23,1_23,WO,37.1,1,1,L,No,
1 28,1_28,SM,76.7,2,3,L,NA,"Live branch, main trunk is dead"
1 28,1_28,NS,22.7,2,1,L,NA,
1 28,1_28,NS,22.4,3,1,L,NA,
1 28,1_28,RM,17.4,3,1,L,NA,
1 28,1_28,SM,36.6,1,1,L,NA,
1 28,1_28,WP,61.8,1,1,L,NA,
1 28,1_28,RM,36.8,2,1,L,NA,
1 28,1_28,WP,57.3,1,1,L,NA,
1 28,1_28,RM,33.1,2,1,L,NA,
1 28,1_28,WP,102.2,1,1,L,NA,
1 29,1_29,WP,18.5,1,1,L,NA,
1 29,1_29,RO,43.6,1,1,L,Yes,Also in Plot 1-7
1 29,1_29,RO,35.3,1,2,L,Yes,
1 29,1_29,RM,22,3,1,L,NA,
1 29,1_29,RM,29.2,2,1,L,NA,
1 29,1_29,RO,53.1,1,2,L,Yes,
1 29,1_29,RO,59,1,1,L,Yes,
1 29,1_29,RM,18.2,2,1,L,NA,
1 29,1_29,WP,29.4,3,1,L,NA,
1 30,1_30,SM,74,1,1,L,NA,
1 30,1_30,YB,10.4,2,1,L,NA,
1 30,1_30,BB,13.7,1,1,L,NA,
1 30,1_30,SM,50.5,2,1,L,NA,
1 31,1_31,WP,28.7,1,1,L,NA,
1 31,1_31,WP,35.5,1,1,L,NA,
1 32,1_32,RO,50,1,2,L,Yes,
1 32,1_32,RO,54.8,1,2,L,Yes,
1 32,1_32,RO,51.3,1,2,L,No,Cracks in trunk
1 33,1_33,WP,35.9,1,1,L,NA,
1 34,1_34,RM,37.4,1,1,L,NA,
1 34,1_34,RM,26.2,1,1,L,NA,
1 34,1_34,RM ,21.8,2,1,L,NA,
1 34,1_34,RO,74.4,1,1,L,Yes,
1 38,1_38,WP,52.4,1,1,L,NA,
1 38,1_38,RO,62.2,1,1,L,Yes,asparagus
1 38,1_38,WP,49.5,1,1,L,NA,
1 38,1_38,WP,69.8,1,1,L,NA,
1 38,1_38,WP,61.6,1,1,L,NA,
1 38,1_38,WP,56.2,1,1,L,NA,
1 38,1_38,WP,59,1,1,L,NA,
1 40,1_40,WP,58.3,1,1,L,NA,
1 40,1_40,RO,35.5,1,1,L,Yes,
1 40,1_40,RO,24.9,1,1,L,Yes,
1 40,1_40,WP,20.8,2,3,L,NA,
1 40,1_40,WO,29.4,1,1,L,Yes,
1 40,1_40,RO,47,1,1,L,Yes,one big dead branch
1 40,1_40,WP,34.4,1,1,L,NA,
1 40,1_40,WO,40.2,1,2,L,Yes,
1 40,1_40,WP,18.9,2,2,L,NA,
1 40,1_40,RM,28,1,1,L,NA,
1 40,1_40,WP,58.2,1,1,L,NA,
1 40,1_40,RO,43.9,1,1,L,Yes,
1 40,1_40,RO,32.6,1,1,L,Yes,
1 40,1_40,RM,34.8,2,1,L,NA,leaning 
1 40,1_40,RM,26.5,2,1,L,NA,double stem
1 40,1_40,WP,44.3,1,1,L,NA,double stem
1 41,1_41,RM,22.7,1,1,L,NA,
1 41,1_41,WP,22,1,1,L,NA,
1 41,1_41,WP,36,1,1,L,NA,
1 41,1_41,WP,39.9,1,1,L,NA,
1 41,1_41,RO,55.7,1,1,L,Yes,
1 41,1_41,WP,44.9,1,1,L,NA,
1 41,1_41,WP,33.7,1,1,L,NA,
1 41,1_41,WP,60.9,1,1,L,NA,
1 41,1_41,WP,41.5,1,1,L,NA,
1 41,1_41,WP,19.5,2,1,L,NA,
1 41,1_41,WP,64.1,1,1,L,NA,
1 41,1_41,RO,44.5,1,2,L,Yes,
1 45,1_45,RO,49.6,1,2,L,Yes,
1 45,1_45,BB,13.2,1,1,L,NA,
1 45,1_45,BB,12.6,1,1,L,NA,
1 45,1_45,RO,40.2,1,4,L,NA,
1 45,1_45,RO,49.1,1,2,L,Yes,
1 45,1_45,RO,34.8,1,4,L,NA,
1 45,1_45,BO,36.3,3,4,L,NA,Maybe CO
1 45,1_45,Hk,37.5,1,1,L,NA,
1 46,1_46,BB,11.8,1,1,L,NA,
1 47,1_47,WP,21.1,1,1,L,NA,
1 47,1_47,RO,56.7,1,1,L,Yes,
1 47,1_47,RO,55.9,1,1,L,Yes,
1 47,1_47,WP,94.2,1,1,L,NA,
1 47,1_47,WP,10.9,2,4,L,NA,
1 47,1_47,BO,39.2,1,1,L,Yes,
1 50,1_50,RO,26,1,2,L,Yes,
1 50,1_50,RO,31.9,1,2,L,Yes,
1 50,1_50,RO,34.6,1,1,L,No,
1 50,1_50,RO,41.9,1,1,L,Yes,
1 50,1_50,RO,32.3,1,1,L,Yes,
1 50,1_50,WP,22.2,2,2,L,NA,
1 50,1_50,WP,20.1,2,2,L,NA,
1 50,1_50,WP,25.3,1,2,L,NA,
1 50,1_50,RO,45.1,1,1,L,Yes,
1 51,1_51,RM,28.5,2,1,L,NA,
1 51,1_51,RM,21.7,3,1,L,NA,
1 51,1_51,RO,38.5,1,1,L,Yes,Double stem
1 51,1_51,RO,49.2,1,1,L,Yes,Double stem
1 51,1_51,RM,27.1,1,1,L,NA,
1 51,1_51,RM,23.9,1,1,L,NA,
1 51,1_51,RM,22.6,1,1,L,NA,
1 51,1_51,RM,29.9,1,1,L,NA,
1 52,1_52,BB,17.6,2,1,L,NA,
1 52,1_52,BB,30.4,2,1,L,NA,
1 52,1_52,WP,59,1,1,L,NA,
1 52,1_52,RM,41.9,1,1,L,NA,
1 52,1_52,WP,50.2,1,2,L,NA,
1 52,1_52,HL,48.4,1,1,L,NA,
1 52,1_52,RO,30.4,2,2,L,Yes,
1 52,1_52,WP,58.9,1,1,L,NA,
1 54,1_54,HL,35.6,1,4,L,NA,
1 54,1_54,RO,35.6,1,1,L,Yes,
1 54,1_54,RO,47.2,1,1,L,Yes,
1 54,1_54,RO,47.1,1,1,L,Yes,
1 54,1_54,RO,90.3,1,2,L,Yes,Triple stem (1 dead stem) nails in bark
1 54,1_54,RO,69.3,1,2,L,Yes,
1 54,1_54,RO,57.4,1,1,L,Yes,
1 54,1_54,RO,53.3,1,1,L,No,
1 54,1_54,RO,42.9,1,1,L,No,
1 54,1_54,BB,12.3,3,1,L,NA,
1 54,1_54,RM,16.3,3,1,L,NA,
1 54,1_54,BB,15.5,2,1,L,NA,
1 54,1_54,RM,25.5,1,1,L,NA,
1 56,1_56,BB,15.2,2,1,L,NA,
1 56,1_56,RO,68.1,1,1,L,Yes,
1 56,1_56,RO,64.5,1,2,L,Yes,
1 56,1_56,RO,44.6,1,2,L,Yes,
1 56,1_56,RO,69.8,1,1,L,Yes,
1 56,1_56,BB,20.7,2,1,L,NA,
1 56,1_56,BB,19.4,3,1,L,NA,
1 56,1_56,RM,27.3,3,1,L,NA,
1 56,1_56,RO,42.1,1,1,L,Yes,
1 56,1_56,RO,60.2,1,2,L,Yes,
1 56,1_56,RO,62.6,1,2,L,Yes,
1 56,1_56,RO,52.2,1,2,L,Yes,
1 65,1_65,YB,16.7,1,1,L,NA,
1 65,1_65,RO,67,1,1,L,Yes,
1 65,1_65,WP,47.5,1,1,L,NA,"Full, lots of needles, dark green"
1 65,1_65,CO,46.4,1,1,L,Yes,
1 67,1_67,WP,54.2,1,1,L,NA,
1 67,1_67,BB,31.3,2,1,L,NA,
1 67,1_67,BB,11,3,1,L,NA,
1 67,1_67,RM,24.3,2,1,L,NA,
1 67,1_67,RO,51.7,1,1,L,No,Share a base
1 67,1_67,RO,44.7,1,2,L,Yes,Share a base
1 67,1_67,RO,44.2,1,2,L,Yes,
1 67,1_67,Be,49.6,1,1,L,NA,
1 67,1_67,RO,46.9,1,1,L,Yes,
1 67,1_67,RO,46.2,1,2,L,Yes,
1 69,1_69,RO,46.1,1,1,L,Yes,
1 69,1_69,RO,54.8,1,1,L,Yes,Leaning towards open road timber
1 69,1_69,RO,51.2,1,1,L,Yes,
1 69,1_69,RM,12.8,1,1,L,NA,
1 71,1_71,RO,55.1,1,1,L,Yes,
1 73,1_73,RM,23.4,3,1,L,NA,
1 73,1_73,RM,40.6,2,1,L,NA,
1 73,1_73,RM,43.8,2,1,L,NA,
1 73,1_73,RO,41.8,1,1,L,Yes,
1 75,1_75,RO,28.1,2,2,L,Yes,
1 75,1_75,HL,34.9,2,3,L,NA,Hardly any needles
1 75,1_75,RO,56.3,1,1,L,No,
1 75,1_75,BB,41,1,1,L,NA,
1 75,1_75,WP,51.2,1,1,L,NA,Double stem
1 75,1_75,BO,52.4,1,2,L,No,
1 75,1_75,PB,29.7,2,1,L,NA,
1 75,1_75,HL,57.3,1,2,L,NA,
1 75,1_75,HL,45.9,1,3,L,NA,
1 80,1_80,RM,14.1,2,1,L,NA,
1 80,1_80,RM,17.5,3,2,L,NA,
